Start,Trough,End,Depth,Sessions,Sessions to trough,Sessions to recover,Recovered
2008-07-03,2009-06-11,2010-03-16,-0.11847122445591607,444,246,198,True
1994-01-14,1994-04-22,1994-11-16,-0.099034027539873,219,71,148,True
2011-05-02,2012-11-15,2013-02-12,-0.09597178214901647,467,404,63,True
2006-04-27,2006-12-01,2007-06-11,-0.08119754027089732,293,157,136,True
1992-01-09,1992-03-13,1992-04-10,-0.07150907936080775,67,47,20,True
2007-06-21,2007-08-16,2007-10-26,-0.0704205437494777,92,41,51,True
1996-10-09,1996-11-04,1997-01-17,-0.06854611805322885,73,19,54,True
2001-11-02,2002-03-11,2002-05-20,-0.06512059928082126,142,92,50,True
2003-03-11,2003-03-21,2003-10-06,-0.06404700157786536,150,9,141,True
1990-08-24,1990-08-29,1991-02-04,-0.06335007985678509,117,4,113,True
1998-09-01,1998-11-12,1998-12-18,-0.0620154470383546,79,53,26,True
1996-04-29,1996-07-31,1996-10-02,-0.05974553605911814,113,68,45,True
1991-02-13,1991-04-01,1991-07-05,-0.05926834502171785,103,34,69,True
1995-01-09,1995-08-21,1995-10-31,-0.05878474910299314,212,161,51,True
1999-07-12,1999-08-05,1999-11-23,-0.057045721905600755,97,19,78,True
2008-03-17,2008-05-02,2008-07-01,-0.05389453789898968,77,35,42,True
2004-04-02,2004-07-26,2004-09-27,-0.05224278567576479,127,82,45,True
