Episode,Symbol,Contribution
2008-07-03 to 2009-06-11,HO,-0.010988627248767575
2008-07-03 to 2009-06-11,PL,-0.010105450279200791
2008-07-03 to 2009-06-11,GAS,-0.009068457608500722
2008-07-03 to 2009-06-11,6B,-0.008510387918850594
2008-07-03 to 2009-06-11,RB,-0.007279546903813246
2008-07-03 to 2009-06-11,BRN,-0.0071160223963932226
2008-07-03 to 2009-06-11,6A,-0.006753021047380322
2008-07-03 to 2009-06-11,6E,-0.006650520565074782
2008-07-03 to 2009-06-11,NG,-0.006374238243310488
2008-07-03 to 2009-06-11,6N,-0.0063119720223683146
2008-07-03 to 2009-06-11,ZS,-0.005738535049868515
2008-07-03 to 2009-06-11,FGBS,-0.005571707413508946
2008-07-03 to 2009-06-11,CC,-0.005530752833309336
2008-07-03 to 2009-06-11,6S,-0.005411180506579376
2008-07-03 to 2009-06-11,CL,-0.005275208906584216
2008-07-03 to 2009-06-11,HTW,-0.005181912172912175
2008-07-03 to 2009-06-11,FGBM,-0.0050414090729877185
2008-07-03 to 2009-06-11,6C,-0.004750885828760243
2008-07-03 to 2009-06-11,FGBX,-0.004638840531383847
2008-07-03 to 2009-06-11,ZC,-0.004335956146689526
2008-07-03 to 2009-06-11,PA,-0.004174693940033873
2008-07-03 to 2009-06-11,SI,-0.004060905572595078
2008-07-03 to 2009-06-11,HG,-0.003967612120186221
2008-07-03 to 2009-06-11,KC,-0.0038153779584082404
2008-07-03 to 2009-06-11,SXF,-0.00339185508451766
2008-07-03 to 2009-06-11,GC,-0.0028179753037189657
2008-07-03 to 2009-06-11,6M,-0.002760165682098214
2008-07-03 to 2009-06-11,SB,-0.0027489802667231443
2008-07-03 to 2009-06-11,FGBL,-0.0022724728164875466
2008-07-03 to 2009-06-11,RS,-0.002117654408276242
2008-07-03 to 2009-06-11,ZL,-0.0014193910250160989
2008-07-03 to 2009-06-11,ZW,-0.0012410320872824996
2008-07-03 to 2009-06-11,GF,-0.0011014122937732008
2008-07-03 to 2009-06-11,KE,-0.0010957132699665768
2008-07-03 to 2009-06-11,6J,-0.0006982074838524885
2008-07-03 to 2009-06-11,ZM,6.694107308151485e-05
2008-07-03 to 2009-06-11,RTY,0.0004120412409417095
2008-07-03 to 2009-06-11,CGB,0.0005905076413458521
2008-07-03 to 2009-06-11,YM,0.0006103257854295022
2008-07-03 to 2009-06-11,FDAX,0.0006289550606465182
2008-07-03 to 2009-06-11,LFT,0.0006351507857971703
2008-07-03 to 2009-06-11,ZB,0.0007816650795131646
2008-07-03 to 2009-06-11,FESX,0.0008696484798004637
2008-07-03 to 2009-06-11,EMD,0.0009059753386818629
2008-07-03 to 2009-06-11,SNK,0.000987007388368202
2008-07-03 to 2009-06-11,ES,0.0011150767721123918
2008-07-03 to 2009-06-11,NKD,0.0014553843098395276
2008-07-03 to 2009-06-11,ZT,0.001597091644955004
2008-07-03 to 2009-06-11,FCE,0.001686795037653923
2008-07-03 to 2009-06-11,NQ,0.0019412122194682484
2008-07-03 to 2009-06-11,SJB,0.0020999444985067895
2008-07-03 to 2009-06-11,ZN,0.002109235178085562
2008-07-03 to 2009-06-11,YAP,0.0022491800299764483
2008-07-03 to 2009-06-11,CT,0.002349846193747532
2008-07-03 to 2009-06-11,ZF,0.0025541640314820356
2008-07-03 to 2009-06-11,FSMI,0.0031119617245013304
2008-07-03 to 2009-06-11,HE,0.004099974117359139
2008-07-03 to 2009-06-11,LLG,0.0046761236248569924
2008-07-03 to 2009-06-11,LE,0.0072637989728040414
1994-01-14 to 1994-04-22,LLG,-0.013141786609160462
1994-01-14 to 1994-04-22,ZB,-0.012733976252854015
1994-01-14 to 1994-04-22,ZW,-0.011730378008936464
1994-01-14 to 1994-04-22,ZC,-0.011309333419466465
1994-01-14 to 1994-04-22,KE,-0.011207817847437884
1994-01-14 to 1994-04-22,ZN,-0.010637420800006361
1994-01-14 to 1994-04-22,ZF,-0.009118823393178075
1994-01-14 to 1994-04-22,CL,-0.007978324507685744
1994-01-14 to 1994-04-22,BRN,-0.006628050203864996
1994-01-14 to 1994-04-22,ZS,-0.006555795178673785
1994-01-14 to 1994-04-22,HO,-0.006192410026976739
1994-01-14 to 1994-04-22,ZM,-0.005809489339219767
1994-01-14 to 1994-04-22,ZL,-0.005278499719286472
1994-01-14 to 1994-04-22,GC,-0.0046397672911891235
1994-01-14 to 1994-04-22,HG,-0.003568974405254714
1994-01-14 to 1994-04-22,YAP,-0.0031729495033062526
1994-01-14 to 1994-04-22,HE,-0.002967117285333516
1994-01-14 to 1994-04-22,SB,-0.0025134723385127457
1994-01-14 to 1994-04-22,6B,-0.002024556520497678
1994-01-14 to 1994-04-22,ZT,-0.0017837211565870101
1994-01-14 to 1994-04-22,GAS,-0.001658488028122903
1994-01-14 to 1994-04-22,SI,-0.0006665309951470522
1994-01-14 to 1994-04-22,GF,-4.2367244462273635e-05
1994-01-14 to 1994-04-22,LFT,0.0
1994-01-14 to 1994-04-22,PA,0.0
1994-01-14 to 1994-04-22,RB,0.0
1994-01-14 to 1994-04-22,SJB,0.0
1994-01-14 to 1994-04-22,SXF,0.0
1994-01-14 to 1994-04-22,YM,0.0
1994-01-14 to 1994-04-22,NQ,0.0
1994-01-14 to 1994-04-22,RTY,0.0
1994-01-14 to 1994-04-22,6A,0.0
1994-01-14 to 1994-04-22,ES,0.0
1994-01-14 to 1994-04-22,6E,0.0
1994-01-14 to 1994-04-22,6J,0.0
1994-01-14 to 1994-04-22,6M,0.0
1994-01-14 to 1994-04-22,6N,0.0
1994-01-14 to 1994-04-22,CGB,0.0
1994-01-14 to 1994-04-22,EMD,0.0
1994-01-14 to 1994-04-22,FCE,0.0
1994-01-14 to 1994-04-22,FDAX,0.0
1994-01-14 to 1994-04-22,FESX,0.0
1994-01-14 to 1994-04-22,HTW,0.0
1994-01-14 to 1994-04-22,FGBL,0.0
1994-01-14 to 1994-04-22,FGBM,0.0
1994-01-14 to 1994-04-22,FGBS,0.0
1994-01-14 to 1994-04-22,FGBX,0.0
1994-01-14 to 1994-04-22,FSMI,0.0
1994-01-14 to 1994-04-22,NKD,0.00035454236223912846
1994-01-14 to 1994-04-22,6S,0.000365748682207759
1994-01-14 to 1994-04-22,SNK,0.0004956714090946909
1994-01-14 to 1994-04-22,NG,0.0007709076449523009
1994-01-14 to 1994-04-22,PL,0.0017444962255135977
1994-01-14 to 1994-04-22,CC,0.0020195073567020995
1994-01-14 to 1994-04-22,KC,0.003440500564160036
1994-01-14 to 1994-04-22,LE,0.003683413533881534
1994-01-14 to 1994-04-22,6C,0.00588485566888395
1994-01-14 to 1994-04-22,RS,0.008371815867244913
1994-01-14 to 1994-04-22,CT,0.011035097695667944
2011-05-02 to 2012-11-15,ZS,-0.021554923298275963
2011-05-02 to 2012-11-15,CL,-0.019487099571475423
