Episode,Depth,Sessions to trough,Markets with activity,Markets losing,Breadth of loss,Share of loss from worst 3,Worst market,Worst market contribution,Worst asset class,Worst asset-class contribution,Asset classes losing,Asset classes with activity
2008-07-03 to 2009-06-11,-0.11847122445591607,246,59,35,0.5932203389830508,0.17919961287833616,HO,-0.010988627248767575,Energy,-0.04610210130736947,5,6
1994-01-14 to 1994-04-22,-0.099034027539873,71,34,23,0.6764705882352942,0.2660308966426931,LLG,-0.013141786609160462,Government bonds,-0.04741572821178592,5,6
2011-05-02 to 2012-11-15,-0.09597178214901647,404,59,37,0.6271186440677966,0.25127084282219364,ZS,-0.021554923298275963,Equity indices,-0.0561672814109409,5,6
2006-04-27 to 2006-12-01,-0.08119754027089732,157,49,37,0.7551020408163265,0.20259386573591984,SB,-0.010169270974716626,Government bonds,-0.042508365148257066,5,6
1992-01-09 to 1992-03-13,-0.07150907936080775,47,32,20,0.625,0.30393756815032963,ZF,-0.01683321282648741,Government bonds,-0.05521307676395025,4,6
2007-06-21 to 2007-08-16,-0.0704205437494777,41,52,38,0.7307692307692307,0.2510694849070769,6J,-0.008304146550553119,Government bonds,-0.037736500974149885,6,6
1996-10-09 to 1996-11-04,-0.06854611805322885,19,38,26,0.6842105263157895,0.27455821298189836,6B,-0.009015436338509162,Agriculture & livestock,-0.024968580567891613,5,6
2001-11-02 to 2002-03-11,-0.06512059928082126,92,50,37,0.74,0.20595728023371515,ZB,-0.0066883675455360805,Government bonds,-0.04225558671471889,4,6
2003-03-11 to 2003-03-21,-0.06404700157786536,9,43,37,0.8604651162790697,0.24800151541499046,GAS,-0.007805212099836951,Energy,-0.021488644645787886,6,6
1990-08-24 to 1990-08-29,-0.06335007985678509,4,27,17,0.6296296296296297,0.6880589607489626,HO,-0.027039631193554365,Energy,-0.06537134032225743,4,6
1998-09-01 to 1998-11-12,-0.0620154470383546,53,36,28,0.7777777777777778,0.26743422444835957,6J,-0.008734382058996784,Agriculture & livestock,-0.030329620540733324,5,6
1996-04-29 to 1996-07-31,-0.05974553605911814,68,36,25,0.6944444444444444,0.29043027177819225,ZC,-0.009647194410230703,Agriculture & livestock,-0.03711239092357268,4,6
1991-02-13 to 1991-04-01,-0.05926834502171785,34,29,22,0.7586206896551724,0.40436489637136164,6B,-0.011405294467180402,FX,-0.02848269496494832,6,6
1995-01-09 to 1995-08-21,-0.05878474910299314,161,34,22,0.6470588235294118,0.33540191601375274,PL,-0.015712595322600893,Metals,-0.023019707406488756,6,6
1999-07-12 to 1999-08-05,-0.057045721905600755,19,40,24,0.6,0.28110716223136,ZM,-0.007024019262623816,Agriculture & livestock,-0.03262355957320525,4,6
2008-03-17 to 2008-05-02,-0.05389453789898968,35,59,48,0.8135593220338984,0.1795591905145347,SI,-0.004672738838073527,Equity indices,-0.018111783069048287,5,6
2004-04-02 to 2004-07-26,-0.05224278567576479,82,55,43,0.7818181818181819,0.15539742149050476,ZM,-0.004670933538015707,Equity indices,-0.02552921939305494,5,6
