variant,evaluation_mode,method,samples,expected_block_sessions,horizon_sessions,seed,source_sessions,common_random_numbers,bootstrap_p_drawdown_breach_15pct,bootstrap_p_drawdown_breach_20pct,bootstrap_p01_max_drawdown,bootstrap_p05_max_drawdown,bootstrap_median_max_drawdown,bootstrap_mean_max_drawdown,selection_adjusted,permitted_use
baseline,baseline,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.049,0.0045,-0.1845254041154866,-0.14911886465667912,-0.0990340275398729,-0.10302149344192904,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.00,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.037,0.002,-0.17763745386598387,-0.14379884271684043,-0.09446995318073442,-0.09907731091799582,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.10,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.037,0.002,-0.17763745386598387,-0.14379884271684043,-0.09446995318073442,-0.09907731091799582,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.25,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.037,0.002,-0.17763745386598387,-0.14379884271684043,-0.09446995318073442,-0.09907731091799582,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.00,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.0475,0.004,-0.1836760112243427,-0.14938970945819582,-0.09874310872959613,-0.10266031206359352,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.10,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.0475,0.004,-0.1836760112243427,-0.14938970945819582,-0.09874310872959613,-0.10266031206359352,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.25,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.0475,0.004,-0.1836760112243427,-0.14938970945819582,-0.09874310872959613,-0.10266031206359352,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.00,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.05,0.0045,-0.18607964705997812,-0.14994773613881354,-0.09903402753987278,-0.10320730489424708,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.10,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.05,0.0045,-0.18607964705997812,-0.14994773613881354,-0.09903402753987278,-0.10320730489424708,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.25,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.05,0.0045,-0.18607964705997812,-0.14994773613881354,-0.09903402753987278,-0.10320730489424708,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.75_min0.00,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.0485,0.004,-0.18500227237952382,-0.14963453449354017,-0.09903402753987278,-0.10297167024051027,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.75_min0.10,as_is,stationary block bootstrap of daily net returns; one shared index draw across variants,2000,63,2520,20260805,6523,True,0.0485,0.004,-0.18500227237952382,-0.14963453449354017,-0.09903402753987278,-0.10297167024051027,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
