Comparison,Statistic,Method,Expected block sessions,Samples,Seed,Sessions,Return correlation with incumbent,Tracking error (annualized),Point estimate,Bootstrap standard error,Confidence lower,Confidence upper,Confidence method,Minimum detectable effect (95% one-sided),Selection adjusted,Permitted use
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0005646771348893114,0.00197456578660388,-0.003978911227764997,0.002849556957986374,minimum of percentile and basic bootstrap bounds,0.0032481607189633823,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,21,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.012373527648987803,0.02274119961540148,-0.05107692111013209,0.026329865812156482,minimum of percentile and basic bootstrap bounds,0.03740927336733543,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,21,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0006580730359563303,0.002207660071582569,-0.004425020782919499,0.0031088747110068387,minimum of percentile and basic bootstrap bounds,0.003631600817753326,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,63,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0005646771348893114,0.002225808747616925,-0.00430115212888504,0.0031717978591064167,minimum of percentile and basic bootstrap bounds,0.0036614553898298417,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,63,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.012373527648987803,0.023243020170901678,-0.050885825708670285,0.02613877041069468,minimum of percentile and basic bootstrap bounds,0.038234768181133263,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,63,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0006580730359563303,0.002479493446622811,-0.004786775949157563,0.003470629877244903,minimum of percentile and basic bootstrap bounds,0.004078766719694524,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,126,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0005646771348893114,0.0021632934491488437,-0.004244912481681215,0.003115558211902592,minimum of percentile and basic bootstrap bounds,0.003558617723849848,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,126,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.012373527648987803,0.022684759544104847,-0.04936107970953348,0.024614024411557876,minimum of percentile and basic bootstrap bounds,0.03731642945005247,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,126,2000,20260805,6523,0.9931582331547347,0.009046081627938992,-0.0006580730359563303,0.0024037676024794064,-0.004717560741010989,0.003401414669098328,minimum of percentile and basic bootstrap bounds,0.003954197706078624,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_scalar_max1.25_min0.25_risk_matched_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,2000,20260805,6523,0.9982980583387844,0.0045010857694054406,0.00029415599781205194,0.0010775424070941597,-0.0016428828811985068,0.0022311948768226108,minimum of percentile and basic bootstrap bounds,0.0017725572596698927,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
