comparison,power_status,power_basis,tracking_error_annualized,standard_error_of_sharpe_differential,standard_error_of_cagr_differential,minimum_detectable_sharpe_effect_95_one_sided,minimum_detectable_cagr_effect_95_one_sided,selection_adjusted,permitted_use
risk_scalar_max1.00_min0.25_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.009046081627938992,0.023437292239054178,0.0018090244093193447,0.03855434573324412,0.002975845153330322,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.25_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.0045010857694054406,0.011661763281550039,0.0009001216615319824,0.019183600598149813,0.001480700133220111,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.25_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.002755324090752359,0.007138708070997388,0.0005510063628391418,0.011743174776790703,0.0009064054668703883,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.75_min0.25_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.002061475094172326,0.005341030095994882,0.0004122512838093067,0.008785994507911581,0.0006781533618663095,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max2.00_min0.00_risk_matched_vs_baseline,not_estimable,"the bound left the daily path identical to the incumbent's, so the differential has no sampling variation and a detectable effect is undefined",0.0,,,,,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max2.00_min0.10_risk_matched_vs_baseline,not_estimable,"the bound left the daily path identical to the incumbent's, so the differential has no sampling variation and a detectable effect is undefined",0.0,,,,,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
signal_cap_1.00_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.014274992894852382,0.03698476245822946,0.0028546957292415816,0.06083993424378746,0.004695974474602402,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_managed_cap_1.00_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.016521036413686754,0.04280398679177643,0.0033038567822897638,0.07041255827247223,0.005434844406866661,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
shock_floor_0.25_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.0046823388676352235,0.012131367913385897,0.0009363684358203921,0.0199561002175198,0.001540326076924545,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
max_gross_notional_multiple_3.00_risk_matched_vs_baseline,estimated,closed-form standard error of a paired differential over 25.01 years of reused history,0.0232009227383156,0.06011075610396725,0.004639692330734315,0.09888219379102613,0.0076322938840579484,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
