comparison,evaluation_mode,statistic,method,expected_block_sessions,samples,seed,sessions,common_random_numbers,return_correlation_with_incumbent,point_estimate,bootstrap_standard_error,confidence_lower,confidence_upper,confidence_method,minimum_detectable_effect_95_one_sided,selection_adjusted,permitted_use
risk_scalar_max1.00_min0.00,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,0.00586019252248382,0.005895014273038119,-0.004842075520944978,0.016562460565912616,minimum of percentile and basic bootstrap bounds,0.009697298479147706,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.00,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.02611212330618984,0.07716318536145755,-0.1753723210818122,0.12314807446943252,minimum of percentile and basic bootstrap bounds,0.12693343991959768,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.00,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.001474128493923331,0.001140821633150181,-0.003404251430494677,0.000455994442648015,minimum of percentile and basic bootstrap bounds,0.0018766515865320476,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.10,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,0.00586019252248382,0.005895014273038119,-0.004842075520944978,0.016562460565912616,minimum of percentile and basic bootstrap bounds,0.009697298479147706,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.10,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.02611212330618984,0.07716318536145755,-0.1753723210818122,0.12314807446943252,minimum of percentile and basic bootstrap bounds,0.12693343991959768,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.10,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.001474128493923331,0.001140821633150181,-0.003404251430494677,0.000455994442648015,minimum of percentile and basic bootstrap bounds,0.0018766515865320476,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.25,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,0.00586019252248382,0.005895014273038119,-0.004842075520944978,0.016562460565912616,minimum of percentile and basic bootstrap bounds,0.009697298479147706,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.25,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.02611212330618984,0.07716318536145755,-0.1753723210818122,0.12314807446943252,minimum of percentile and basic bootstrap bounds,0.12693343991959768,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.00_min0.25,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9926788643411711,-0.001474128493923331,0.001140821633150181,-0.003404251430494677,0.000455994442648015,minimum of percentile and basic bootstrap bounds,0.0018766515865320476,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.00,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00011240164109105333,0.0028311211988850064,-0.005098678811811074,0.0053234820939931805,minimum of percentile and basic bootstrap bounds,0.004657194372165835,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.00,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.004473066500080725,0.03682633834239429,-0.061444111638580254,0.0703902446387417,minimum of percentile and basic bootstrap bounds,0.060579326573238605,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.00,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00015309111821314864,0.0005320963102510883,-0.0009948696042975096,0.0013010518407238069,minimum of percentile and basic bootstrap bounds,0.0008752984303630403,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.10,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00011240164109105333,0.0028311211988850064,-0.005098678811811074,0.0053234820939931805,minimum of percentile and basic bootstrap bounds,0.004657194372165835,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.10,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.004473066500080725,0.03682633834239429,-0.061444111638580254,0.0703902446387417,minimum of percentile and basic bootstrap bounds,0.060579326573238605,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.10,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00015309111821314864,0.0005320963102510883,-0.0009948696042975096,0.0013010518407238069,minimum of percentile and basic bootstrap bounds,0.0008752984303630403,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.25,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00011240164109105333,0.0028311211988850064,-0.005098678811811074,0.0053234820939931805,minimum of percentile and basic bootstrap bounds,0.004657194372165835,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.25,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.004473066500080725,0.03682633834239429,-0.061444111638580254,0.0703902446387417,minimum of percentile and basic bootstrap bounds,0.060579326573238605,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.25_min0.25,as_is,ulcer_index,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9981701255640811,0.00015309111821314864,0.0005320963102510883,-0.0009948696042975096,0.0013010518407238069,minimum of percentile and basic bootstrap bounds,0.0008752984303630403,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.00,as_is,max_drawdown,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9995472699936789,-0.0029581854601115065,0.0016348151016691256,-0.008910340471941697,0.0029939695517186837,minimum of percentile and basic bootstrap bounds,0.0026892708422457117,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
risk_scalar_max1.50_min0.00,as_is,max_drawdown_over_annualized_volatility,paired stationary block bootstrap of the loss-shape differential; one shared index draw across comparisons,21,2000,20260805,6523,True,0.9995472699936789,0.034356144120637255,0.02121754117116409,-0.043128301645298725,0.11184058988657324,minimum of percentile and basic bootstrap bounds,0.03490285522656493,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
