variant,source_variant,iteration,method,risk_budget_volatility,achieved_annualized_volatility,reference_annualized_volatility,volatility_match_error,relative_volatility_match_error,within_tolerance,tolerance
baseline_risk_matched,baseline,1,first-order rescale of the risk budget,0.07,0.07718572567461184,0.07718572567461184,0.0,0.0,True,0.0005
risk_scalar_max1.00_min0.00_risk_matched,risk_scalar_max1.00_min0.00,1,first-order rescale of the risk budget,0.07238990486911118,0.07743320267770847,0.07718572567461184,0.00024747700309663,0.003206253500030653,True,0.0005
risk_scalar_max1.00_min0.10_risk_matched,risk_scalar_max1.00_min0.10,1,first-order rescale of the risk budget,0.07238990486911118,0.07743320267770847,0.07718572567461184,0.00024747700309663,0.003206253500030653,True,0.0005
risk_scalar_max1.00_min0.25_risk_matched,risk_scalar_max1.00_min0.25,1,first-order rescale of the risk budget,0.07238990486911118,0.07743320267770847,0.07718572567461184,0.00024747700309663,0.003206253500030653,True,0.0005
risk_scalar_max1.25_min0.00_risk_matched,risk_scalar_max1.25_min0.00,1,first-order rescale of the risk budget,0.07027066927484116,0.07708657394955862,0.07718572567461184,-9.915172505321757e-05,-0.0012845862908798286,True,0.0005
risk_scalar_max1.25_min0.10_risk_matched,risk_scalar_max1.25_min0.10,1,first-order rescale of the risk budget,0.07027066927484116,0.07708657394955862,0.07718572567461184,-9.915172505321757e-05,-0.0012845862908798286,True,0.0005
risk_scalar_max1.25_min0.25_risk_matched,risk_scalar_max1.25_min0.25,1,first-order rescale of the risk budget,0.07027066927484116,0.07708657394955862,0.07718572567461184,-9.915172505321757e-05,-0.0012845862908798286,True,0.0005
risk_scalar_max1.50_min0.00_risk_matched,risk_scalar_max1.50_min0.00,1,first-order rescale of the risk budget,0.0698233812702431,0.07716864278570554,0.07718572567461184,-1.708288890629739e-05,-0.00022132186692540672,True,0.0005
risk_scalar_max1.50_min0.10_risk_matched,risk_scalar_max1.50_min0.10,1,first-order rescale of the risk budget,0.0698233812702431,0.07716864278570554,0.07718572567461184,-1.708288890629739e-05,-0.00022132186692540672,True,0.0005
risk_scalar_max1.50_min0.25_risk_matched,risk_scalar_max1.50_min0.25,1,first-order rescale of the risk budget,0.0698233812702431,0.07716864278570554,0.07718572567461184,-1.708288890629739e-05,-0.00022132186692540672,True,0.0005
risk_scalar_max1.75_min0.00_risk_matched,risk_scalar_max1.75_min0.00,1,first-order rescale of the risk budget,0.06996956478558002,0.07714098062266501,0.07718572567461184,-4.474505194682066e-05,-0.0005797063065190347,True,0.0005
risk_scalar_max1.75_min0.10_risk_matched,risk_scalar_max1.75_min0.10,1,first-order rescale of the risk budget,0.06996956478558002,0.07714098062266501,0.07718572567461184,-4.474505194682066e-05,-0.0005797063065190347,True,0.0005
risk_scalar_max1.75_min0.25_risk_matched,risk_scalar_max1.75_min0.25,1,first-order rescale of the risk budget,0.06996956478558002,0.07714098062266501,0.07718572567461184,-4.474505194682066e-05,-0.0005797063065190347,True,0.0005
risk_scalar_max2.00_min0.00_risk_matched,risk_scalar_max2.00_min0.00,1,first-order rescale of the risk budget,0.07,0.07718572567461184,0.07718572567461184,0.0,0.0,True,0.0005
risk_scalar_max2.00_min0.10_risk_matched,risk_scalar_max2.00_min0.10,1,first-order rescale of the risk budget,0.07,0.07718572567461184,0.07718572567461184,0.0,0.0,True,0.0005
signal_cap_1.00_risk_matched,signal_cap_1.00,1,first-order rescale of the risk budget,0.07028167014818668,0.07734447039664075,0.07718572567461184,0.0001587447220289112,0.002056659060227324,True,0.0005
signal_cap_1.50_risk_matched,signal_cap_1.50,1,first-order rescale of the risk budget,0.06994647437657896,0.07722478272507348,0.07718572567461184,3.905705046164387e-05,0.0005060139050359493,True,0.0005
risk_managed_cap_1.00_risk_matched,risk_managed_cap_1.00,1,first-order rescale of the risk budget,0.0695542492199959,0.07722735423745607,0.07718572567461184,4.162856284423144e-05,0.0005393298110549997,True,0.0005
risk_managed_cap_1.50_risk_matched,risk_managed_cap_1.50,1,first-order rescale of the risk budget,0.06973512118785549,0.07724724774587703,0.07718572567461184,6.152207126519649e-05,0.0007970653994308758,True,0.0005
shock_floor_0.25_risk_matched,shock_floor_0.25,1,first-order rescale of the risk budget,0.06991414887320026,0.07703277738954381,0.07718572567461184,-0.00015294828506802471,-0.001981561794376352,True,0.0005
shock_floor_0.50_risk_matched,shock_floor_0.50,1,first-order rescale of the risk budget,0.06990338389198175,0.07709747927233977,0.07718572567461184,-8.824640227206304e-05,-0.001143299509083832,True,0.0005
max_gross_notional_multiple_3.00_risk_matched,max_gross_notional_multiple_3.00,1,first-order rescale of the risk budget,0.07418817108572338,0.07616047810293834,0.07718572567461184,-0.0010252475716734932,-0.013282864969043373,False,0.0005
max_gross_notional_multiple_4.00_risk_matched,max_gross_notional_multiple_4.00,1,first-order rescale of the risk budget,0.0704398737887914,0.07763800568590609,0.07718572567461184,0.00045228001129425655,0.005859632818649808,True,0.0005
max_gross_notional_multiple_3.00_risk_matched,max_gross_notional_multiple_3.00,2,secant step on realised annualised volatility,0.07547680395122047,0.07688962388166636,0.07718572567461184,-0.0002961017929454801,-0.0038362247728775944,True,0.0005
