variant,lever,evaluation_mode,bound_setting,validation_status,risk_budget_volatility,reference_annualized_volatility,annualized_volatility_gap_to_reference,solver_engine_runs,start,end,years,annualized_volatility,cagr,sharpe,hac_sharpe,sortino,calmar,max_drawdown,max_drawdown_duration_sessions,max_drawdown_over_annualized_volatility,ulcer_index,pain_index,worst_rolling_21_sessions,worst_rolling_63_sessions,conditional_shortfall_95,conditional_shortfall_99,annualized_downside_deviation,daily_return_skew,daily_return_excess_kurtosis,average_risk_scalar,peak_risk_scalar,trough_risk_scalar,average_gross_notional_multiple,peak_gross_notional_multiple,portfolio_limit_binding_decision_days,annual_cost_drag,annual_rebalance_turnover_contracts,annual_roll_turnover_contracts,delta_annualized_volatility,delta_cagr,delta_sharpe,delta_max_drawdown,max_drawdown_resolution_floor,delta_max_drawdown_status,delta_max_drawdown_over_annualized_volatility,max_drawdown_over_annualized_volatility_resolution_floor,delta_max_drawdown_over_annualized_volatility_status,delta_ulcer_index,ulcer_index_resolution_floor,delta_ulcer_index_status,delta_annual_cost_drag
baseline,baseline,baseline,canonical,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.0,0,1990-01-01,2014-12-31,25.005304694826044,0.07718572567461184,0.13189524685750764,1.5895266624546427,1.4889016291562005,2.4014239410781735,1.1133104048113114,-0.11847122445591607,467.0,1.534885154223328,0.032447157787957974,0.023629113182976808,-0.07047010848519797,-0.08947205111040102,0.010542864218217199,0.01493541092519548,0.051090008233040884,0.0054576463146503345,2.294128642802824,0.7964111965450026,1.8457955875216576,0.2940910774860579,2.637926709442167,5.1117169008057015,24.0,0.010421436303130022,1808.2504099123767,3179.4099594742606,0.0,0.0,0.0,0.0,,reference,0.0,,reference,0.0,,reference,0.0
risk_scalar_max1.00_min0.00,risk_scalar_bounds,as_is,max_risk_scalar=1; min_risk_scalar=0,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.002548235723602202,0,1990-01-01,2014-12-31,25.005304694826044,0.07463748995100963,0.12942890762270998,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459.0,1.508773030917138,0.030973029294034643,0.02270727560140551,-0.06681196768142739,-0.0807536367679802,0.010235354352069596,0.014586133790005871,0.04946293181007689,-0.030254992349356757,1.9797661467161127,0.7562632165548716,1.0,0.2940910774860579,2.564832821620723,5.153849848738706,20.0,0.009854682968631432,1630.269699890471,2939.142001642935,-0.002548235723602202,-0.0024663392347976654,0.02343718084245161,,0.009697298479147706,not_estimable,,0.12693343991959768,not_estimable,,0.0018766515865320476,not_estimable,-0.00056675333449859
risk_scalar_max1.00_min0.10,risk_scalar_bounds,as_is,max_risk_scalar=1; min_risk_scalar=0.1,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.002548235723602202,0,1990-01-01,2014-12-31,25.005304694826044,0.07463748995100963,0.12942890762270998,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459.0,1.508773030917138,0.030973029294034643,0.02270727560140551,-0.06681196768142739,-0.0807536367679802,0.010235354352069596,0.014586133790005871,0.04946293181007689,-0.030254992349356757,1.9797661467161127,0.7562632165548716,1.0,0.2940910774860579,2.564832821620723,5.153849848738706,20.0,0.009854682968631432,1630.269699890471,2939.142001642935,-0.002548235723602202,-0.0024663392347976654,0.02343718084245161,,0.009697298479147706,not_estimable,,0.12693343991959768,not_estimable,,0.0018766515865320476,not_estimable,-0.00056675333449859
risk_scalar_max1.00_min0.25,risk_scalar_bounds,as_is,max_risk_scalar=1; min_risk_scalar=0.25,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.002548235723602202,0,1990-01-01,2014-12-31,25.005304694826044,0.07463748995100963,0.12942890762270998,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459.0,1.508773030917138,0.030973029294034643,0.02270727560140551,-0.06681196768142739,-0.0807536367679802,0.010235354352069596,0.014586133790005871,0.04946293181007689,-0.030254992349356757,1.9797661467161127,0.7562632165548716,1.0,0.2940910774860579,2.564832821620723,5.153849848738706,20.0,0.009854682968631432,1630.269699890471,2939.142001642935,-0.002548235723602202,-0.0024663392347976654,0.02343718084245161,,0.009697298479147706,not_estimable,,0.12693343991959768,not_estimable,,0.0018766515865320476,not_estimable,-0.00056675333449859
risk_scalar_max1.25_min0.00,risk_scalar_bounds,as_is,max_risk_scalar=1.25; min_risk_scalar=0,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0002973047590414113,0,1990-01-01,2014-12-31,25.005304694826044,0.07688842091557042,0.13167049211443782,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471.0,1.5393582207234087,0.03260024890617112,0.023728248064515546,-0.07062572807180478,-0.08920644007942613,0.010532221659457166,0.014963222069959503,0.050979612570928354,-0.019659561146248436,2.144267458099428,0.7863506964141593,1.25,0.2940910774860579,2.6321826798779435,5.136933916899562,23.0,0.01033803840099278,1784.6076588170865,3158.9275761226722,-0.0002973047590414113,-0.00022475474306982157,0.0033554147826648784,,0.004657194372165835,not_estimable,,0.060579326573238605,not_estimable,,0.0008752984303630403,not_estimable,-8.339790213724232e-05
risk_scalar_max1.25_min0.10,risk_scalar_bounds,as_is,max_risk_scalar=1.25; min_risk_scalar=0.1,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0002973047590414113,0,1990-01-01,2014-12-31,25.005304694826044,0.07688842091557042,0.13167049211443782,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471.0,1.5393582207234087,0.03260024890617112,0.023728248064515546,-0.07062572807180478,-0.08920644007942613,0.010532221659457166,0.014963222069959503,0.050979612570928354,-0.019659561146248436,2.144267458099428,0.7863506964141593,1.25,0.2940910774860579,2.6321826798779435,5.136933916899562,23.0,0.01033803840099278,1784.6076588170865,3158.9275761226722,-0.0002973047590414113,-0.00022475474306982157,0.0033554147826648784,,0.004657194372165835,not_estimable,,0.060579326573238605,not_estimable,,0.0008752984303630403,not_estimable,-8.339790213724232e-05
risk_scalar_max1.25_min0.25,risk_scalar_bounds,as_is,max_risk_scalar=1.25; min_risk_scalar=0.25,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0002973047590414113,0,1990-01-01,2014-12-31,25.005304694826044,0.07688842091557042,0.13167049211443782,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471.0,1.5393582207234087,0.03260024890617112,0.023728248064515546,-0.07062572807180478,-0.08920644007942613,0.010532221659457166,0.014963222069959503,0.050979612570928354,-0.019659561146248436,2.144267458099428,0.7863506964141593,1.25,0.2940910774860579,2.6321826798779435,5.136933916899562,23.0,0.01033803840099278,1784.6076588170865,3158.9275761226722,-0.0002973047590414113,-0.00022475474306982157,0.0033554147826648784,,0.004657194372165835,not_estimable,,0.060579326573238605,not_estimable,,0.0008752984303630403,not_estimable,-8.339790213724232e-05
risk_scalar_max1.50_min0.00,risk_scalar_bounds,as_is,max_risk_scalar=1.5; min_risk_scalar=0,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.00019524183126068406,0,1990-01-01,2014-12-31,25.005304694826044,0.07738096750587252,0.13344972588321236,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462.0,1.5692412983439652,0.03247580403108316,0.023630543508921457,-0.07099125628671787,-0.08947205111040102,0.010559403215806036,0.014940983572147118,0.05117208313308421,0.0074667881368023084,2.27730266436002,0.794116140333519,1.5,0.2940910774860579,2.64234492866595,5.170599866741807,24.0,0.010440534637983266,1828.9728211938664,3223.815126506024,0.00019524183126068406,0.0015544790257047136,0.01332496594941257,-0.0029581854601115065,0.002893630973649463,estimated,,0.037120034910888285,not_estimable,,0.0004736396519674875,not_estimable,1.909833485324447e-05
risk_scalar_max1.50_min0.10,risk_scalar_bounds,as_is,max_risk_scalar=1.5; min_risk_scalar=0.1,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.00019524183126068406,0,1990-01-01,2014-12-31,25.005304694826044,0.07738096750587252,0.13344972588321236,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462.0,1.5692412983439652,0.03247580403108316,0.023630543508921457,-0.07099125628671787,-0.08947205111040102,0.010559403215806036,0.014940983572147118,0.05117208313308421,0.0074667881368023084,2.27730266436002,0.794116140333519,1.5,0.2940910774860579,2.64234492866595,5.170599866741807,24.0,0.010440534637983266,1828.9728211938664,3223.815126506024,0.00019524183126068406,0.0015544790257047136,0.01332496594941257,-0.0029581854601115065,0.002893630973649463,estimated,,0.037120034910888285,not_estimable,,0.0004736396519674875,not_estimable,1.909833485324447e-05
risk_scalar_max1.50_min0.25,risk_scalar_bounds,as_is,max_risk_scalar=1.5; min_risk_scalar=0.25,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.00019524183126068406,0,1990-01-01,2014-12-31,25.005304694826044,0.07738096750587252,0.13344972588321236,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462.0,1.5692412983439652,0.03247580403108316,0.023630543508921457,-0.07099125628671787,-0.08947205111040102,0.010559403215806036,0.014940983572147118,0.05117208313308421,0.0074667881368023084,2.27730266436002,0.794116140333519,1.5,0.2940910774860579,2.64234492866595,5.170599866741807,24.0,0.010440534637983266,1828.9728211938664,3223.815126506024,0.00019524183126068406,0.0015544790257047136,0.01332496594941257,-0.0029581854601115065,0.002893630973649463,estimated,,0.037120034910888285,not_estimable,,0.0004736396519674875,not_estimable,1.909833485324447e-05
