pair,trade_count,usd_notional,median_tenor_days,block_share,prime_broker_share,cleared_share,platform_count,capped_notional_share
EUR USD,733,2.0000000002066157e+20,9.0,0.0,0.0,0.0,16,0.021828103683492497
INR USD,4971,18812789878.0,35.0,0.0,0.0,0.006638503319251659,27,0.0006035003017501509
JPY USD,428,16823086768.0,30.0,0.0,0.0,0.0,20,0.007009345794392523
KRW USD,4806,15083554773.0,35.0,0.0,0.0,0.0035372451102788183,28,0.00020807324178110696
BRL USD,2918,13401345737.0,32.0,0.0,0.0,0.0,20,0.0
CNY USD,511,12015454477.0,36.0,0.0,0.0,0.0,17,0.0019569471624266144
TWD USD,3240,11784776850.0,32.0,0.0,0.0,0.010802469135802469,27,0.0
CLP USD,1483,7259214358.0,32.0,0.0,0.0,0.0,19,0.0
COP USD,1375,6531433547.0,32.0,0.0,0.0,0.0,20,0.0
CAD USD,231,6398452417.0,22.0,0.0,0.0,0.0,14,0.008658008658008658
AUD USD,197,5569265218.0,18.0,0.0,0.0,0.0,13,0.005076142131979695
MXN USD,388,5080059617.0,32.0,0.0,0.0,0.0,11,0.0
CHF USD,82,4612375951.0,34.0,0.0,0.0,0.0,8,0.012195121951219513
GBP USD,127,3951339231.0,29.0,0.0,0.0,0.0,12,0.015748031496062992
PHP USD,1291,3667732093.0,35.0,0.0,0.0,0.001549186676994578,22,0.0
SEK USD,34,1958571808.0,8.5,0.0,0.0,0.0,8,0.0
IDR USD,963,1719899386.0,39.0,0.0,0.0,0.003115264797507788,20,0.0
USD ZAR,81,1618581293.0,30.0,0.0,0.0,0.0,11,0.0
NOK USD,38,1371724586.0,20.0,0.0,0.0,0.0,7,0.05263157894736842
PEN USD,284,1260020855.0,30.5,0.0,0.0,0.0,18,0.0
SGD USD,44,1044833741.0,14.0,0.0,0.0,0.0,8,0.0
NZD USD,57,902935058.0,29.0,0.0,0.0,0.0,7,0.0
PLN USD,23,821300138.0,2.0,0.0,0.0,0.0,3,0.0
ILS USD,21,728489486.0,30.0,0.0,0.0,0.0,5,0.0
MYR USD,100,415375575.0,35.0,0.0,0.0,0.0,9,0.0
USD XAU,29,400447800.0,1.0,0.0,0.0,0.0,4,0.0
EGP USD,115,244629111.0,78.0,0.0,0.0,0.0,7,0.0
EUR GBP,342,0.0,4.0,0.0,0.0,0.0,9,0.0
AUD EUR,226,0.0,31.0,0.0,0.0,0.0,4,0.0
EUR JPY,177,0.0,4.0,0.0,0.0,0.0,7,0.0
EUR PLN,175,0.0,4.0,0.0,0.0,0.0,9,0.0
EUR INR,168,0.0,57.0,0.0,0.0,0.0,5,0.0
EUR KRW,149,0.0,57.0,0.0,0.0,0.0,5,0.0
CHF EUR,146,0.0,4.0,0.0,0.0,0.0,6,0.0
EUR IDR,139,0.0,85.0,0.0,0.0,0.0,3,0.0
BRL EUR,127,0.0,57.0,0.0,0.0,0.0,6,0.0
CZK EUR,119,0.0,4.0,0.0,0.0,0.0,3,0.0
EUR PHP,96,0.0,100.5,0.0,0.0,0.0,3,0.0
EUR SEK,89,0.0,4.0,0.0,0.0,0.0,8,0.0
EUR NOK,80,0.0,4.0,0.0,0.0,0.0,6,0.0
EUR RON,76,0.0,4.0,0.0,0.0,0.0,1,0.0
CAD EUR,74,0.0,4.0,0.0,0.0,0.0,5,0.0
CNY EUR,67,0.0,4.0,0.0,0.0,0.0,6,0.0
EUR HUF,67,0.0,4.0,0.0,0.0,0.0,5,0.0
DKK EUR,59,0.0,4.0,0.0,0.0,0.0,1,0.0
EUR MXN,57,0.0,4.0,0.0,0.0,0.0,4,0.0
EUR SGD,53,0.0,4.0,0.0,0.0,0.0,1,0.0
CAD CNY,50,0.0,348.5,0.0,0.0,0.0,2,0.0
EUR HKD,48,0.0,4.0,0.0,0.0,0.0,1,0.0
EUR NZD,37,0.0,4.0,0.0,0.0,0.0,4,0.0
EUR ZAR,35,0.0,4.0,0.0,0.0,0.0,2,0.0
GBP KRW,32,0.0,29.0,0.0,0.0,0.0,2,0.0
JPY NZD,32,0.0,14.0,0.0,0.0,0.0,4,0.0
AUD JPY,31,0.0,7.0,0.0,0.0,0.0,6,0.0
CAD NZD,27,0.0,0.0,0.0,0.0,0.0,2,0.0
GBP TWD,26,0.0,29.0,0.0,0.0,0.0,2,0.0
AUD NZD,24,0.0,21.0,0.0,0.0,0.0,6,0.0
