Dropped class,Window,Sharpe,CAGR
Equity indices,1990-2004,1.5791996829336197,0.17865640724328635
Equity indices,2005-2014,0.7508640267991681,0.07748579039094272
Government bonds,1990-2004,1.4893827553419483,0.16399997960157053
Government bonds,2005-2014,0.7678976748768698,0.08034736438280699
FX,1990-2004,1.4086074098828996,0.1567833080312211
FX,2005-2014,1.1551110376493214,0.12545198555337045
Energy,1990-2004,1.3807412072976233,0.14724895113568137
Energy,2005-2014,0.8282639931621151,0.08601591960741528
Metals,1990-2004,1.5829450730585957,0.18128659671371472
Metals,2005-2014,0.7814856853471034,0.08037963872520182
Agriculture & livestock,1990-2004,1.3639840489521606,0.1498931684097713
Agriculture & livestock,2005-2014,0.8179129343240901,0.0842201809535934
