Window,Strategy,From,CAGR,Volatility,Sharpe,Max drawdown,Calmar,Annual cost drag
1990-2004 (primary),Breadth TSMOM (43 markets),1990-01-01,0.1780106233064327,0.10780290857919547,1.574005735069285,-0.12182383645978945,1.4612134084710826,0.00195904030219275
1990-2004 (primary),Walk-forward TSMOM (43 markets),1992-01-01,0.1833008760622199,0.10466268844573141,1.660959796560235,-0.11919695845034972,1.537798266375832,0.0020696733522192496
1990-2004 (primary),Ensemble TSMOM (43 markets),1990-01-01,0.1691232495698245,0.10851588467097609,1.494608654454094,-0.11542489028929936,1.4652233945896445,0.002518919016503787
1990-2004 (primary),Adaptive TSMOM (22 markets),1990-01-01,0.1367769564863508,0.10547057982849677,1.2685101747845167,-0.12186095758994475,1.1224017863588234,0.0014254764189533912
1990-2004 (primary),12-month TSMOM CTA,1990-01-01,0.1397775431646726,0.10665050911948765,1.2803733498668834,-0.12350521132195391,1.13175421238137,0.0017114500078814286
1990-2004 (primary),Long-only risk-balanced (43 markets),1990-01-01,0.08110772058481186,0.1004242882304924,0.8268891105176123,-0.32640719786134076,0.24848631131984653,0.0006367739339203797
2005-2014 (second use),Breadth TSMOM (43 markets),2005-01-03,0.09361525157658734,0.10693632406336565,0.8905164525857274,-0.20425849771932159,0.4583175369537241,0.001386315844810176
2005-2014 (second use),Walk-forward TSMOM (43 markets),2005-01-03,0.06737232696576312,0.1093191788895441,0.6512040737004536,-0.24369707482808622,0.27645931742631824,0.0015973446826173317
2005-2014 (second use),Ensemble TSMOM (43 markets),2005-01-03,0.08231489458981556,0.11204767432099874,0.7621909636324523,-0.23612183637730821,0.3486119532726376,0.0017012030882802298
2005-2014 (second use),Adaptive TSMOM (22 markets),2005-01-03,0.07039642164566029,0.10559996065773708,0.6971273393651942,-0.18612583019211826,0.3782195172641939,0.001182542324279982
2005-2014 (second use),12-month TSMOM CTA,2005-01-03,0.06933364914572016,0.10691343333472533,0.6805781390290195,-0.2018841702103097,0.3434328163198378,0.0014001964641996473
2005-2014 (second use),Long-only risk-balanced (43 markets),2005-01-03,0.05578953053317148,0.10410956815777184,0.5736161203653052,-0.26173742955930646,0.2131507542773139,0.00031984801762434737
