Selection year-end,Sign 12m,Sign 3/6/12m,Strength 12m,Strength 3/6/12m,Strength 1/3/6/12m
1990,1.4547726680518656,1.259227190280131,1.5337551948990233,1.2812316770231769,1.3731264110061674
1991,1.3999752257574032,1.3230617614798807,1.4827514414493246,1.383993853464191,1.4244656512576586
1992,1.3521024175738323,1.2400712701921621,1.4727689735349099,1.3452613598274832,1.4510992136257512
1993,1.743097686246055,1.742382762421717,1.7741864748816343,1.7162845990580087,1.8505619569340857
1994,1.3375505165274728,1.2807339493623378,1.354691783817039,1.275210315414812,1.4686229226143714
1995,1.5738007959655662,1.3017007581206463,1.2407227006457813,1.1933690915104411,1.359403614911644
1996,1.4052562064083303,1.2554173475376407,1.1474302933980278,1.003255392371772,1.152447248404321
1997,1.6571266162550278,1.5612323074527255,1.3999476094619747,1.3722477722269566,1.397754494166756
1998,1.6811654764153336,1.3946216879305888,1.3728956933484553,1.2802440578440812,1.2195041841737577
1999,1.7583380555828465,1.6629212813704262,1.4677568958374825,1.370854102107934,1.23688280454565
2000,1.8802416985142134,1.700489408795746,1.6465633886148694,1.4295078467427018,1.2225160981517103
2001,2.094443062343739,1.592147322597906,1.86920223780397,1.4597724509550993,1.3123452214727642
2002,1.719095964869887,1.4229140837052048,1.5769585690604926,1.27892729620129,1.158406509620591
2003,1.421747622345136,1.3784857672186968,1.4130042646214689,1.1511059690342227,1.0664505274700982
2004,1.6119429513504435,1.4457811948342638,1.6163068387929174,1.2976120585476858,1.2560977652530472
2005,1.587409815631763,1.3178702238596733,1.6097293963548316,1.2599427579931166,1.268356890574182
2006,1.5066954988960417,1.4233870132410187,1.5347447509791707,1.334033346119552,1.3673338972386693
2007,1.517725393281656,1.4779891765643791,1.5626947939490234,1.4045949214882416,1.5059919682876977
2008,1.4167667238739479,1.3632925105124416,1.4609311946714012,1.3774999458456016,1.5009726158140657
2009,1.0074355942337938,1.2379315513274844,1.0264052864468227,1.0808393428201224,1.1740500675227514
2010,0.9452516681947399,1.147568358091402,0.9607669324786678,0.9538465046066195,1.0090330446046432
2011,0.7815224067148615,1.0230411496911453,0.8119109334131537,0.8269253894507369,0.8634518379184145
2012,0.4962025933933888,0.6391707865579881,0.44907713046012104,0.43853167107684055,0.38260411598154814
2013,0.7653431675522718,0.5975110216543813,0.6750031406118907,0.41819135420521175,0.29593047808703826
2014,1.1521174150968176,0.7904961279732703,1.0759436750758946,0.7492736702375449,0.6440314832473908
