Year,Breadth TSMOM + Basis Momentum (43 markets),Adaptive TSMOM (22 markets),Winner
1990,0.17436899232095904,0.04192092989745544,Breadth TSMOM + Basis Momentum (43 markets)
1991,0.17784805590083197,0.17676842465883502,Breadth TSMOM + Basis Momentum (43 markets)
1992,0.1590364756098066,0.1954845932910736,Adaptive TSMOM (22 markets)
1993,0.44971447437202583,0.1817118336703858,Breadth TSMOM + Basis Momentum (43 markets)
1994,0.08924492367194836,0.008782760236048626,Breadth TSMOM + Basis Momentum (43 markets)
1995,0.1340294137079976,0.1277498284843568,Breadth TSMOM + Basis Momentum (43 markets)
1996,0.3040434472322442,-0.04638183353235681,Breadth TSMOM + Basis Momentum (43 markets)
1997,0.30462829347746867,0.3432137708767329,Adaptive TSMOM (22 markets)
1998,0.2934785220391909,0.25485569691814947,Breadth TSMOM + Basis Momentum (43 markets)
1999,0.06775656194059354,0.02166613282665475,Breadth TSMOM + Basis Momentum (43 markets)
2000,0.3473606937351359,0.18045364626635174,Breadth TSMOM + Basis Momentum (43 markets)
2001,0.15739702814170942,0.22820619906042627,Adaptive TSMOM (22 markets)
2002,0.17008833261038947,0.15975053793421568,Breadth TSMOM + Basis Momentum (43 markets)
2003,0.2722190203189465,0.17880916925565238,Breadth TSMOM + Basis Momentum (43 markets)
2004,0.15705484177269025,0.14238488981136777,Breadth TSMOM + Basis Momentum (43 markets)
2005,0.16197203272843685,0.0394582921259532,Breadth TSMOM + Basis Momentum (43 markets)
2006,0.03277298348914037,0.03918586158748005,Adaptive TSMOM (22 markets)
2007,0.0887519820754834,0.06387688628867938,Breadth TSMOM + Basis Momentum (43 markets)
2008,0.20748186662858892,0.11832554893949765,Breadth TSMOM + Basis Momentum (43 markets)
2009,0.036953605037706616,-0.05692415386960692,Breadth TSMOM + Basis Momentum (43 markets)
2010,0.327164261675833,0.20200618818716198,Breadth TSMOM + Basis Momentum (43 markets)
2011,0.029588062480594646,0.07134642262510171,Adaptive TSMOM (22 markets)
2012,-0.01764036798699975,-0.082261752652111,Breadth TSMOM + Basis Momentum (43 markets)
2013,0.3598014221152277,0.23609523295138457,Breadth TSMOM + Basis Momentum (43 markets)
2014,0.20318698905069077,0.14195695625469806,Breadth TSMOM + Basis Momentum (43 markets)
