Date,gross_return,cost_return,net_return,nav,turnover_fraction,traded_notional_usd,impact_cost_return,fixed_cost_return,participation_fill_fraction,order_deferred,rebalance_session,risk_weight_sum,cash_weight,sleeves_held,book_live
2006-02-06,-0.0004996284408746998,0.0,-0.0004996284408746998,0.9995003715591253,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-07,0.00012501950307575171,0.0,0.00012501950307575171,0.9996253285989016,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-08,-0.00037479518294858405,0.0,-0.00037479518294858405,0.9992506738409893,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-09,-0.00025008483147315186,0.0,-0.00025008483147315186,0.9990007764046224,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-10,-0.0007500589924679391,0.0,-0.0007500589924679391,0.9982514668887976,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-13,0.0007506220032513777,0.0,0.0007506220032513777,0.9990007764046224,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-14,0.0,0.0,0.0,0.9990007764046224,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-15,-0.0001249320861914649,0.0,-0.0001249320861914649,0.9988759691535193,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-16,0.0007502026963541741,0.0,0.0007502026963541741,0.9996253285989016,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-17,0.0007495903658973901,0.0,0.0007495903658973901,1.0003746381147265,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-21,-0.0007490289010494422,0.0,-0.0007490289010494422,0.9996253285989016,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-22,0.0007495903658973901,0.0,0.0007495903658973901,1.0003746381147265,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-23,-0.0008739391446875855,0.0,-0.0008739391446875855,0.9995003715591253,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-24,0.00037482538815081234,0.0,0.00037482538815081234,0.9998750096738518,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-27,-0.0004995743805380481,0.0,-0.0004995743805380481,0.9993754977352785,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-02-28,0.001374636958067832,0.0,0.001374636958067832,1.0007492762294528,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-03-01,-0.0005116109900487054,0.0,-0.0005116109900487054,1.0002372819014504,0.0,0.0,0.0,0.0,1.0,False,True,0.0,1.0,1,False
2006-03-02,0.0003759302977006662,0.0,0.0003759302977006662,1.000613301400607,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-03-03,-0.0010019710087073586,0.0,-0.0010019710087073586,0.9996107158816765,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-03-06,0.00037611598557885095,0.0,0.00037611598557885095,0.9999866854512756,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-03-07,0.0,0.0,0.0,0.9999866854512756,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
2006-03-08,0.0006266242925512255,0.0,0.0006266242925512255,1.0006133014006071,0.0,0.0,0.0,0.0,1.0,False,False,0.0,1.0,1,False
