Ticker,Measurement window,Declared median daily turnover (USD),Recomputed median daily turnover (USD),Recomputed over declared,Whole-life median daily turnover (USD),Whole-life over declared,Limitation
SPY,2006-02-03..2018-12-31,20256600000.0,20256647000.0,1.0000023202314308,7794144650.0,0.38477062537642054,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IWM,2006-02-03..2018-12-31,3818700000.0,3818719000.0,1.0000049755152276,3057711400.0,0.8007205069788148,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IYR,2006-02-03..2018-12-31,574000000.0,573953500.0,0.9999189895470383,421168195.0,0.7337425,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
EFA,2006-02-03..2018-12-31,1021900000.0,1021852100.0,0.9999531265290146,849551600.0,0.8313451414032684,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
EEM,2006-02-03..2018-12-31,2210000000.0,2210045200.0,1.0000204524886878,1963599000.0,0.888506334841629,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
SHY,2006-02-03..2018-12-31,75900000.0,75909920.0,1.00013069828722,61928030.0,0.8159160737812912,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IEF,2006-02-03..2018-12-31,82800000.0,82842210.0,1.0005097826086957,56363400.0,0.6807173913043478,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
TLT,2006-02-03..2018-12-31,701900000.0,701913400.0,1.0000190910386095,518696540.0,0.7389892292349337,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
LQD,2006-02-03..2018-12-31,163700000.0,163658980.0,0.9997494196701283,111200840.0,0.6792965180207697,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
GLD,2006-02-03..2018-12-31,982900000.0,982908900.0,1.0000090548377252,906307600.0,0.9220750839352935,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
DBC,2006-02-03..2018-12-31,33500000.0,33506294.0,1.000187880597015,33506294.0,1.000187880597015,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
