year,selected_model,train_rows,train_start,last_available_label,validation_start,validation_rows,validation_log_loss,validation_auc
2003,Shallow GBDT depth=1,1422,1997-01-31,2002-12-31,2000-12-29,512,0.6926758421415853,0.5575722896162356
2004,Shallow GBDT depth=2,1686,1997-01-31,2003-12-31,2001-12-31,524,0.6788894183635382,0.5428343586238323
2005,Shallow GBDT depth=1,1950,1997-01-31,2004-12-31,2002-12-31,528,0.684369668195051,0.4394998105342933
2006,Ridge logistic C=0.05,2214,1997-01-31,2005-12-30,2003-12-31,528,0.7002044558636551,0.5267748478701826
2007,Ridge logistic C=0.05,2478,1997-01-31,2006-12-29,2004-12-31,528,0.708154061439382,0.4712973593570609
2008,Shallow GBDT depth=1,2742,1997-01-31,2007-12-31,2005-12-30,528,0.6940338114558707,0.5059521220293763
2009,Shallow GBDT depth=1,3006,1997-01-31,2008-12-31,2006-12-29,528,0.693772744467944,0.49666285416455525
2010,Shallow GBDT depth=2,3270,1997-01-31,2009-12-31,2007-12-31,528,0.689962297111778,0.5542816661124524
2011,Ridge logistic C=0.05,3534,1997-01-31,2010-12-31,2008-12-31,528,0.7061517359289553,0.4969725058681059
2012,Shallow GBDT depth=1,3798,1997-01-31,2011-12-30,2009-12-31,528,0.6993028726561802,0.45351032534722735
2013,Shallow GBDT depth=1,4062,1997-01-31,2012-12-31,2010-12-31,528,0.7038725178920711,0.4671953388176443
2014,Shallow GBDT depth=1,4326,1997-01-31,2013-12-31,2011-12-30,528,0.702094894615582,0.4765055302256678
