year,selected,selected_history_sharpe,frozen_history_sharpe,history_sessions,selected_realized_return,frozen_realized_return,selection_changed,selected_is_frozen,note
1996,profile:trend_lookback=231,1.8218577633748092,1.571227135171241,1565,0.2048029161384477,0.1174358374590796,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
1997,profile:trend_lookback=231,1.8862746634347882,1.54491450666562,1827,0.20412534780401392,0.22481002926250993,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
1998,profile:trend_lookback=231,1.9516679089823312,1.6853711359284345,2088,0.13539549763300163,0.1595438015685533,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
1999,search:0181,1.9536722355751521,1.703249178098457,2349,0.0545454894446169,0.09578927646053059,True,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2000,profile:target_vol=0.04,1.8636665256923068,1.6619810289112815,2610,0.1179769242353157,0.17558964665111265,True,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2001,profile:target_vol=0.04,1.9159454733722652,1.7039556951589463,2870,0.10698822290212173,0.18730439045308844,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2002,profile:target_vol=0.04,1.9485666680697464,1.7391546100630089,3131,0.097763479538852,0.19604643303652725,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2003,profile:target_vol=0.04,1.9644824955215983,1.7833216166698156,3392,0.11423626289352007,0.2046870079627945,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2004,profile:target_vol=0.04,1.9929731005465356,1.8191172139686649,3653,0.08319992949349819,0.14746144361107216,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
2005,profile:target_vol=0.04,1.9826675265249503,1.8218300400377898,3915,0.1298037768918232,0.2083358506287818,False,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
