Signal,Cost multiple,CAGR,Volatility,Sharpe,Max drawdown
"Short/medium (1m, 3m)",0.0,0.03343732588030357,0.11388431398154028,0.3458406000530222,-0.15900347723339237
"Short/medium (1m, 3m)",1.0,0.030044050128695154,0.11381427655409987,0.31708403755854064,-0.16332275019525389
"Short/medium (1m, 3m)",2.0,0.02666061276235676,0.11375505782263687,0.2882646435843011,-0.16762182835783956
"Balanced (1m, 3m, 12m)",0.0,0.049492790921938035,0.11415418147999183,0.48038790968012895,-0.22487222572996923
"Balanced (1m, 3m, 12m)",1.0,0.046455705148336746,0.11410193009385934,0.45515332989860285,-0.22830679601570558
"Balanced (1m, 3m, 12m)",2.0,0.04342636851927262,0.11405814857096389,0.4298637041897205,-0.2317274746957233
"Medium/long (3m, 6m, 12m)",0.0,0.05918298577641501,0.11102018963588887,0.5735168472109397,-0.22356024285896126
"Medium/long (3m, 6m, 12m)",1.0,0.05701260461457669,0.11099041692348167,0.5551566559878669,-0.2256250406608985
"Medium/long (3m, 6m, 12m)",2.0,0.05484609521399619,0.1109654237716832,0.5367634912808062,-0.22768489691753746
Classic (12m),0.0,0.07083026739243237,0.106925265320287,0.6935979231681102,-0.20028574534264132
Classic (12m),1.0,0.06933364914571993,0.10691343333472539,0.6805781390290198,-0.2018841702103107
Classic (12m),2.0,0.06783883743365626,0.10690402968136513,0.6675403092348581,-0.2034796508052048
