Window,Source start,Source end,Source sessions,Method,Drawdown resolution,Expected block sessions,Approximate block months,Horizon sessions,Approximate horizon years,Samples,Seed,Metric,Statistic,Value,Selection adjusted
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P01,-0.2216852919095324,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P05,-0.18027118479604123,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P25,-0.1378557326249196,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.11507799265425989,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.09807731731839786,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P95,-0.07888375133095635,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P99,-0.07159027848241745,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.1645,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.026,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P01,-0.21034521619944527,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P05,-0.1655202438791757,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P25,-0.1273179635245799,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.10871059893586932,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.09240520225623206,False
