symbol,asset_class,first_model_price,last_model_price,calendar_rows,model_price_rows,model_price_missing_fraction,forecast_rows,position_sessions,rebalance_sessions,executed_rolls,gross_pnl_usd,modeled_cost_usd
EMD,Equity indices,2002-01-28,2014-12-31,9683,3373,0.6516575441495405,2660,2157,84,34,800623.0000000002,12353.774762939993
ES,Equity indices,1997-09-09,2014-12-31,9683,4517,0.5335123412165651,3769,3175,132,52,1017227.0,20821.135883677725
FCE,Equity indices,1988-08-18,2014-12-31,9683,6880,0.28947640194154706,6405,3347,128,154,517981.0135000001,35913.23430185644
FDAX,Equity indices,1999-01-04,2014-12-31,9683,4173,0.5690385211194877,3857,2516,92,40,730987.5139999999,5200.341475437393
FESX,Equity indices,1999-03-26,2014-12-31,9683,4114,0.5751316740679542,3798,3411,140,53,429578.56,30848.554848038355
FSMI,Equity indices,1999-01-04,2014-12-31,9683,4173,0.5690385211194877,3768,3215,134,49,1023862.6230000001,21894.96509023953
HTW,Equity indices,1997-01-09,2014-12-31,9683,4690,0.5156459774863162,4239,3631,144,167,167403.0,62369.40019663459
LFT,Equity indices,1994-10-11,2014-12-31,9683,5277,0.4550242693380151,4843,3506,136,54,601507.2329999999,12010.19115707762
NKD,Equity indices,1990-09-25,2014-12-31,9683,6332,0.3460704327171331,5272,3039,146,44,769950.0,25328.539142904778
NQ,Equity indices,1999-06-21,2014-12-31,9683,4053,0.5814313745739956,3577,2871,120,43,829307.6,15968.759010455815
RTY,Equity indices,2001-10-23,2014-12-31,9683,3442,0.6445316534131984,2869,2152,92,35,658379.9999999999,14144.92314829783
SNK,Equity indices,1989-09-21,2014-12-31,9683,6595,0.3189094288960033,6275,4284,188,59,625849.5075000001,34965.26553630868
SXF,Equity indices,1999-09-07,2014-12-31,9683,3997,0.5872147061860994,3415,2938,110,45,490572.56299999997,17253.13378674261
YAP,Equity indices,1983-02-16,2014-12-31,9683,8316,0.1411752556026025,7998,5476,220,85,630141.25125,30133.646032121007
YM,Equity indices,2002-04-05,2014-12-31,9683,3324,0.6567179593101311,2705,2262,94,34,886045.0,14463.477037870489
CGB,Government bonds,1996-10-02,2014-12-31,9683,4761,0.5083135391923991,4400,3973,162,63,620166.2959999996,34940.65038473659
FGBL,Government bonds,1999-01-04,2014-12-31,9683,4173,0.5690385211194877,3857,3417,150,48,1101003.798,26156.462041773753
FGBM,Government bonds,1999-02-01,2014-12-31,9683,4153,0.571103996695239,3793,3413,152,49,851780.6414999997,45500.78723045443
FGBS,Government bonds,1999-01-20,2014-12-31,9683,4161,0.5702778064649385,3690,3216,151,49,697835.1854999994,91295.15482190212
FGBX,Government bonds,2005-09-12,2014-12-31,9683,2428,0.7492512651037901,2112,2000,78,30,793731.852,19168.111705931056
LLG,Government bonds,1988-02-23,2014-12-31,9683,7007,0.2763606320355262,6545,4987,187,78,807891.217,26328.393335396693
SJB,Government bonds,1998-12-10,2014-12-31,9683,4190,0.5672828668800991,3723,3327,153,46,842434.6949999998,78914.64287384368
YXT,Government bonds,1984-12-05,2014-12-31,9683,7846,0.18971393163275843,7438,5448,225,90,18855.48400000103,74460.2213755575
YYT,Government bonds,1988-05-17,2014-12-31,9683,6947,0.28255705876278014,6393,5547,238,90,188901.75219999813,121364.29406270362
ZT,Government bonds,1990-06-22,2014-12-31,9683,6399,0.3391510895383662,5901,4802,206,72,857531.9740000013,84964.7481823602
ZF,Government bonds,1988-05-20,2014-12-31,9683,6944,0.28286688009914285,6548,5340,214,81,808640.241000001,38136.23176750098
ZN,Government bonds,1982-05-03,2014-12-31,9683,8523,0.11979758339357637,8056,5388,210,82,688595.25,39704.72540575808
ZB,Government bonds,1978-03-10,2014-12-31,9683,9604,0.008158628524217702,9188,5212,180,79,783023.1370000001,34050.17088966991
6A,FX,1987-01-13,2014-12-31,9683,7297,0.2464112361871321,4960,4286,175,66,384809.9999999998,19716.610464529334
6B,FX,1979-03-20,2014-12-31,9683,9337,0.03573272746049778,8823,4718,190,73,-723724.9999999987,23728.256945773213
6C,FX,1979-03-05,2014-12-31,9683,9348,0.034596715893834555,8564,5462,218,80,182239.99999999988,24946.48695667671
6E,FX,1999-01-04,2014-12-31,9683,4173,0.5690385211194877,3668,3076,121,49,300.00000000026193,10457.962502109916
6J,FX,1979-05-01,2014-12-31,9683,9307,0.038830940824124756,8780,4869,204,81,1160212.499999999,15100.394125353767
6M,FX,1995-04-25,2014-12-31,9683,5137,0.4694825983682743,4821,4112,186,67,516494.9999999999,53469.073022357334
6N,FX,2005-09-19,2014-12-31,9683,2423,0.749767633997728,2045,1846,81,28,-24920.000000000335,14930.13140531508
6S,FX,1979-03-20,2014-12-31,9683,9337,0.03573272746049778,8642,4679,183,72,384787.5,17319.82421959573
BRN,Energy,1988-06-23,2014-12-31,9683,6920,0.2853454507900444,6379,5571,217,257,966340.0000000001,36282.17794007164
CL,Energy,1983-03-30,2014-12-31,9683,8286,0.14427346896622947,7773,5530,200,254,-23630.00000000056,31981.883878372108
GAS,Energy,1988-11-10,2014-12-31,9683,6820,0.295672828668801,6420,5677,211,261,946950.0,83522.8641634556
HO,Energy,1978-11-15,2014-12-31,9683,9426,0.02654136114840442,8838,5526,202,256,654162.5999999999,18459.059425471856
NG,Energy,1990-04-03,2014-12-31,9683,6457,0.3331612103686874,5978,4807,187,221,284829.9999999998,24150.309202653807
RB,Energy,2005-10-03,2014-12-31,9683,2413,0.7508003717856037,2097,1825,67,84,-26380.19999999994,6917.921069240911
GC,Metals,1978-03-30,2014-12-31,9683,9590,0.009604461427243622,9018,5024,200,99,956639.9999999999,23028.703052244837
HG,Metals,1978-04-27,2014-12-31,9683,9570,0.01166993700299494,9180,5375,211,95,129775.00000000006,26364.339140515716
PA,Metals,1981-10-05,2014-12-31,9683,8673,0.1043065165754415,2173,1935,79,31,534340.0000000001,12116.108232825289
PL,Metals,1978-05-15,2014-12-31,9683,9558,0.01290922234844573,7586,3859,147,54,70554.9999999998,13764.929593283377
SI,Metals,1978-04-27,2014-12-31,9683,9570,0.01166993700299494,9229,4337,179,88,538970.0000000001,30984.9072120029
CC,Agriculture & livestock,1979-12-19,2014-12-31,9683,9141,0.055974388102860685,8727,5911,250,114,-600350.0,54941.81251730724
CT,Agriculture & livestock,1978-09-19,2014-12-31,9683,9467,0.02230713621811422,9024,5684,229,81,372335.0000000001,19507.969124435414
GF,Agriculture & livestock,1979-01-22,2014-12-31,9683,9378,0.03149850253020758,8868,5612,229,174,1384612.5000000005,77932.45614844764
HE,Agriculture & livestock,1978-11-14,2014-12-31,9683,9427,0.026438087369616853,9106,6150,244,164,972660.0,60381.4798279988
KC,Agriculture & livestock,1978-12-14,2014-12-31,9683,9405,0.028710110502943302,8945,5170,198,98,-55818.74999999923,31479.36244858765
KE,Agriculture & livestock,1979-04-23,2014-12-31,9683,9313,0.03821129815139936,8960,5637,227,106,177837.5,44928.13938762961
LE,Agriculture & livestock,1978-10-23,2014-12-31,9683,9443,0.0247857069090158,9088,6059,250,137,710480.0000000012,64067.590776706704
RS,Agriculture & livestock,1980-11-18,2014-12-31,9683,8902,0.08065682123308891,8437,5630,272,102,83028.2011999999,102494.73021020698
SB,Agriculture & livestock,1978-10-17,2014-12-31,9683,9447,0.024372611793865538,8920,5673,226,89,644537.5999999999,51645.60882198454
ZC,Agriculture & livestock,1978-01-04,2014-12-31,9683,9651,0.0033047609212021067,9075,5697,233,109,253312.5,60005.51187415482
ZL,Agriculture & livestock,1978-01-17,2014-12-31,9683,9642,0.004234224930290199,9277,5607,238,170,275903.9999999999,52505.060687448495
ZM,Agriculture & livestock,1978-01-25,2014-12-31,9683,9636,0.0048538676030155945,9126,5567,229,171,300500.0000000002,47367.61568214095
ZS,Agriculture & livestock,1977-11-21,2014-12-31,9683,9683,0.0,9023,5246,216,142,-322562.5,36609.990113779706
ZW,Agriculture & livestock,1978-01-05,2014-12-31,9683,9650,0.0034080346999896725,9049,5589,231,106,-21800.0,41430.75059251508
