Window,Source start,Source end,Source months,Method,Expected block months,Horizon months,Samples,Seed,Metric,Statistic,Value,Selection adjusted
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P01,-0.10233506529850137,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P05,-0.06194818378554759,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P25,0.03715755861544292,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,Median,0.12370781473034634,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P75,0.20385594372834046,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P95,0.3212937537824049,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,CAGR,P99,0.4119331563741163,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P01,-1.2104320186967998,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P05,-0.6073213678033695,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P25,0.4256233964209401,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,Median,1.151934421091914,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P75,2.0598697764777736,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P95,3.2694068880503573,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Monthly Sharpe,P99,3.9805634448222778,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P01,-0.1487975788834479,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P05,-0.11569964110856634,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P25,-0.07456414971499567,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,Median,-0.05698843148599775,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P75,-0.026649247654349034,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P95,-0.004477254576241263,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Maximum drawdown,P99,-0.0013990022239773854,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P01,-0.10233506529850137,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P05,-0.06194818378554759,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P25,0.03715755861544293,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,Median,0.12370781473034634,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P75,0.20385594372834043,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P95,0.3212937537824049,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Worst 12-month return,P99,0.4119331563741163,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Probability of terminal loss,Probability,0.1575,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.001,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,12,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P01,-0.02659063908652986,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P05,0.014257229887519837,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P25,0.07215541451183766,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,Median,0.11578507255138967,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P75,0.16003342405730062,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P95,0.23688002750045792,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,CAGR,P99,0.27589184742344863,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P01,-0.2652721293875493,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P05,0.19777603687704776,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P25,0.7058712892756374,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,Median,1.0667458434850214,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P75,1.4819737097771526,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P95,2.167258622851156,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Monthly Sharpe,P99,2.7256662878192603,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P01,-0.2014080452416111,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P05,-0.16260327123082838,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P25,-0.11569964110856634,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,Median,-0.08950815074921853,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P75,-0.06739368395225626,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P95,-0.039002158239725526,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Maximum drawdown,P99,-0.022621965311402814,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Worst 12-month return,P01,-0.17319210909996985,False
2005-2014 reused later diagnostic,2005-01-31,2014-12-31,120,stationary monthly bootstrap,6,36,2000,20260803,Worst 12-month return,P05,-0.1331886949777927,False
