decision_date,EMD,ES,FCE,FDAX,FESX,FSMI,HTW,LFT,NKD,NQ,RTY,SNK,SXF,YAP,YM,CGB,FGBL,FGBM,FGBS,FGBX,LLG,SJB,YXT,YYT,ZT,ZF,ZN,ZB,6A,6B,6C,6E,6J,6M,6N,6S,BRN,CL,GAS,HO,NG,RB,GC,HG,PA,PL,SI,CC,CT,GF,HE,KC,KE,LE,RS,SB,ZC,ZL,ZM,ZS,ZW
1989-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5476833047725953e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.8385965734616669e-06,0.0,-3.5914151770748103e-06,-7.953165150380445e-06,0.0,6.224738725355871e-06,0.0,0.0,0.0,0.0,9.778164474898572e-06,0.0,-2.5451465967581835e-06,0.0,0.0,0.0,7.346707896247809e-06,3.5001510991928556e-06,0.0,1.0177853676324416e-06,0.0,0.0,-2.151672307461716e-06,-2.7928448935732595e-06,0.0,-4.16434631350769e-06,-2.0077943991713325e-06,0.0,0.0,-9.506691293508579e-06,4.933202009828619e-06,0.0,0.0,3.98508303155697e-06,-3.193094726567245e-05,3.2590320203310918e-06,0.0,-1.0388365241387822e-05,0.0,0.0,0.0
1990-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5476833047725953e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.8385965734616669e-06,0.0,0.0,5.473316989350033e-06,0.0,6.224738725355871e-06,0.0,0.0,0.0,0.0,3.258545165405015e-06,0.0,-1.7791409826234769e-06,0.0,0.0,1.5920238954435115e-06,2.504489230491501e-06,1.517497895126989e-06,1.2751797334872141e-06,1.0177853676324416e-06,0.0,0.0,-2.151672307461716e-06,-2.7928448935732595e-06,0.0,-4.16434631350769e-06,-2.0077943991713325e-06,0.0,0.0,-9.506691293508579e-06,4.933202009828619e-06,0.0,0.0,5.887038860861838e-06,-3.193094726567245e-05,3.2590320203310918e-06,0.0,-1.0388365241387822e-05,0.0,0.0,0.0
1990-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5476833047725953e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.8385965734616669e-06,0.0,-3.28521658634247e-06,-6.492766390816702e-06,0.0,6.224738725355871e-06,0.0,0.0,0.0,2.271629029487899e-06,3.258545165405015e-06,0.0,0.0,0.0,0.0,1.5920238954435115e-06,3.788331650116283e-06,2.2938602385707928e-06,2.0349072548622914e-06,1.6476836822057697e-06,0.0,0.0,-3.3019542527954825e-06,-2.7928448935732595e-06,0.0,-4.16434631350769e-06,-2.0077943991713325e-06,-4.912837191372533e-06,-3.691825753750473e-06,-9.506691293508579e-06,4.933202009828619e-06,0.0,0.0,5.887038860861838e-06,-4.2655185233441335e-05,5.09081213143822e-06,0.0,-3.0210255423599205e-06,-1.2079082427231357e-06,0.0,0.0
1990-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8385965734616669e-06,0.0,-3.28521658634247e-06,-6.492766390816702e-06,0.0,6.224738725355871e-06,2.0053585000364936e-07,5.251002658273224e-07,0.0,2.271629029487899e-06,6.533112153989718e-06,0.0,-1.8288305190780416e-07,0.0,0.0,3.1001888790881643e-06,6.665628234670969e-06,5.261409772181767e-06,5.323242539310283e-06,2.9403448436369855e-06,0.0,0.0,-3.3019542527954825e-06,-2.7928448935732595e-06,0.0,-7.4112147925908535e-06,-3.2133153566346704e-06,-7.564620414138605e-06,-4.9927902469432265e-06,3.878024099635304e-06,4.933202009828619e-06,-9.429572222908347e-07,0.0,3.889892487191685e-06,-6.050064665702606e-05,6.903144030960463e-06,0.0,-5.409022779279516e-06,-4.152302311344135e-06,-3.852554256891623e-07,0.0
1990-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.57923088561335e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.8385965734616669e-06,0.0,-3.28521658634247e-06,-6.492766390816702e-06,0.0,-7.324647452450037e-06,-4.7641435289521635e-06,1.6960343473173194e-07,0.0,2.271629029487899e-06,6.533112153989718e-06,0.0,-1.8288305190780416e-07,0.0,0.0,3.1001888790881643e-06,6.665628234670969e-06,2.895053441466888e-06,5.323242539310283e-06,2.9403448436369855e-06,0.0,0.0,-3.3019542527954825e-06,5.914179546363703e-07,0.0,-7.4112147925908535e-06,-1.46200516715541e-06,2.546684119498877e-06,-4.9927902469432265e-06,6.944570063473464e-06,4.933202009828619e-06,-1.916760502152797e-06,0.0,6.859215808352336e-06,-3.480012067290157e-05,4.28697088665085e-06,1.7167775245181222e-05,-6.147128670135312e-07,-4.152302311344135e-06,-1.1182308174983315e-06,0.0
1990-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.57923088561335e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0569513373651298e-06,0.0,-3.28521658634247e-06,-6.492766390816702e-06,0.0,-7.324647452450037e-06,-3.2338716842202737e-06,-2.8415754167948877e-06,0.0,2.271629029487899e-06,6.533112153989718e-06,0.0,-1.332867562162699e-06,0.0,0.0,2.2241555313891815e-06,4.402016289672165e-06,1.708392636284419e-06,5.323242539310283e-06,2.9403448436369855e-06,0.0,0.0,-3.3019542527954825e-06,5.914179546363703e-07,0.0,-5.283247494761138e-06,-1.46200516715541e-06,1.8957844454592963e-06,0.0,6.944570063473464e-06,2.8574783488170005e-06,-1.916760502152797e-06,0.0,6.859215808352336e-06,-1.4070414712515457e-05,3.0913178236467485e-06,1.0192924158913971e-05,7.104424776986768e-06,-4.152302311344135e-06,-7.729704739420012e-07,0.0
1990-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2252570968864595e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0569513373651298e-06,0.0,-4.4491754449734035e-06,-1.0956027665611672e-05,0.0,-7.324647452450037e-06,-3.2338716842202737e-06,-2.8415754167948877e-06,0.0,3.677293889332085e-06,6.533112153989718e-06,0.0,0.0,0.0,0.0,2.2241555313891815e-06,-5.106105568462997e-06,-4.40693934956113e-06,8.016223973749321e-06,4.732400125478358e-06,0.0,0.0,-5.08775817509215e-06,1.5093835171585986e-06,0.0,-7.588224693868015e-06,-2.069253350171729e-06,-4.815272300434392e-06,4.449781981184762e-06,6.944570063473464e-06,3.8777139707462706e-06,-2.9010154417650493e-06,0.0,1.0430588051824315e-05,-1.4070414712515457e-05,5.404775415475879e-06,5.427564399537723e-06,7.104424776986768e-06,-7.123913178100199e-06,-3.8049038243634594e-06,0.0
1990-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2252570968864595e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.532600140123233e-06,0.0,-6.132203797641819e-06,-1.559220206736136e-05,0.0,-7.324647452450037e-06,-4.397238630284034e-06,-4.308473326493113e-06,0.0,2.592538281209019e-06,9.613236015832584e-06,0.0,-5.044381132163279e-07,0.0,0.0,2.2241555313891815e-06,6.028014926573719e-06,1.410675174542898e-06,8.016223973749321e-06,4.732400125478358e-06,0.0,0.0,-5.08775817509215e-06,1.5093835171585986e-06,0.0,-7.588224693868015e-06,-2.069253350171729e-06,-6.495531102193881e-06,4.449781981184762e-06,6.944570063473464e-06,3.8777139707462706e-06,1.2985286829090435e-07,0.0,1.0430588051824315e-05,-2.7434750214367593e-05,-3.0121487937280593e-06,5.427564399537723e-06,7.104424776986768e-06,-7.123913178100199e-06,-3.8049038243634594e-06,0.0
1990-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2616083608083125e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.102133804006655e-07,0.0,-1.0088119408607613e-06,-4.289148723264895e-06,0.0,-2.241910849968794e-06,-1.0556654722609488e-06,-6.980478690307123e-07,0.0,5.208296038467807e-07,1.5829339528426036e-06,0.0,1.0873937854549932e-06,0.0,0.0,6.349823373553936e-07,2.690087834181338e-07,2.433093793771209e-07,2.469722317940652e-07,1.223394904063957e-07,0.0,0.0,-8.375692214918436e-07,3.343844687927023e-07,0.0,-2.1675388305019835e-06,-7.762375498502504e-07,6.891922983613995e-07,1.40566548692412e-06,2.321095432613163e-06,1.552438979434029e-06,1.2985286829090435e-07,-1.639269153986673e-06,2.7586500730524216e-06,-9.82767388329009e-06,-9.449830180481306e-07,3.273125715674191e-06,3.0915441093932636e-06,-2.6605110365917482e-06,-1.6372767748480217e-06,0.0
1990-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7668648107333287e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.866285974003696e-07,0.0,-1.0088119408607613e-06,6.682447604367795e-06,0.0,-4.078971442637199e-06,-1.9200593453201355e-06,-1.2386443791939935e-06,0.0,5.208296038467807e-07,2.7416813849769883e-06,0.0,1.5026772420159959e-06,0.0,0.0,6.349823373553936e-07,4.800633255404364e-07,5.071083659497106e-07,4.1049699071921993e-07,2.584562176073062e-07,0.0,0.0,8.001936183745335e-07,3.343844687927023e-07,0.0,-2.1675388305019835e-06,-1.4142889435242016e-06,1.3252622149490955e-06,1.973293906714153e-06,4.904921520219604e-06,2.5585190625233e-06,2.944111020137363e-07,-2.895137041163168e-06,5.06707177914264e-06,-1.672197063835324e-05,-3.123869395522902e-06,-4.92493781221715e-06,5.47194500252607e-06,-4.119463561361862e-06,-2.6944800118832307e-06,0.0
