Date,EMD,ES,FCE,FDAX,FESX,FSMI,HTW,LFT,NKD,NQ,RTY,SNK,SXF,YAP,YM,CGB,FGBL,FGBM,FGBS,FGBX,LLG,SJB,YXT,YYT,ZT,ZF,ZN,ZB,6A,6B,6C,6E,6J,6M,6N,6S,BRN,CL,GAS,HO,NG,RB,GC,HG,PA,PL,SI,CC,CT,GF,HE,KC,KE,LE,RS,SB,ZC,ZL,ZM,ZS,ZW
1989-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.264899634969416e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.5026589273503815e-06,0.0,-2.935212735381306e-06,-6.500009184402128e-06,0.0,5.087390758304733e-06,0.0,0.0,0.0,0.0,7.99155527285825e-06,0.0,-2.080112249874082e-06,0.0,0.0,0.0,6.004360263843642e-06,2.8606238977019675e-06,0.0,8.31821559375578e-07,0.0,0.0,-1.7585312885972008e-06,-2.282552558080399e-06,0.0,-3.4034612349947617e-06,-1.6409419128408924e-06,0.0,0.0,-7.769684088368964e-06,4.031836101236143e-06,0.0,0.0,3.2569518947417164e-06,-2.609671075214659e-05,2.6635606911041423e-06,0.0,-8.4902637130218e-06,0.0,0.0,0.0
1990-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.264899634969416e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.5026589273503815e-06,0.0,0.0,4.278964028405699e-06,0.0,5.087390758304733e-06,0.0,0.0,0.0,0.0,2.547485843563235e-06,0.0,-1.3909079779083415e-06,0.0,0.0,1.2446224098147957e-06,1.9579752730665833e-06,1.1863590066251295e-06,9.969179968857822e-07,8.31821559375578e-07,0.0,0.0,-1.7585312885972008e-06,-2.282552558080399e-06,0.0,-3.4034612349947617e-06,-1.6409419128408924e-06,0.0,0.0,-7.769684088368964e-06,4.031836101236143e-06,0.0,0.0,4.6024061037337575e-06,-2.609671075214659e-05,2.6635606911041423e-06,0.0,-8.4902637130218e-06,0.0,0.0,0.0
1990-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6980292176164268e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.5026589273503815e-06,0.0,-2.9127399244930334e-06,-5.756618898601554e-06,0.0,5.087390758304733e-06,0.0,0.0,0.0,2.0140725562308507e-06,2.547485843563235e-06,0.0,0.0,0.0,0.0,1.8596928146294185e-06,3.358811985300253e-06,2.033783198912583e-06,1.8041902103254621e-06,1.4608699055180446e-06,0.0,0.0,-2.927579880410465e-06,-2.282552558080399e-06,0.0,-3.4034612349947617e-06,-1.6409419128408924e-06,-4.355821497229365e-06,-3.273247892368823e-06,-7.769684088368964e-06,4.031836101236143e-06,0.0,0.0,6.838990421124347e-06,-3.781895584376501e-05,4.513617703313216e-06,0.0,-2.6785027650008505e-06,-1.0709560454341164e-06,0.0,0.0
1990-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5026589273503815e-06,0.0,-2.9127399244930334e-06,-5.756618898601554e-06,0.0,5.087390758304733e-06,1.739512884818451e-07,4.5548897028217074e-07,0.0,2.0140725562308507e-06,5.6670329866815965e-06,0.0,-1.5863867991820796e-07,0.0,0.0,2.6892041998707928e-06,5.78198172516725e-06,4.563917170348014e-06,4.617552914341957e-06,2.550550308696899e-06,0.0,0.0,-2.927579880410465e-06,-2.282552558080399e-06,0.0,-6.428727643278888e-06,-2.787333768874386e-06,-6.561796645794419e-06,-3.273247892368823e-06,3.3639236519701196e-06,4.031836101236143e-06,-8.17951622105311e-07,0.0,3.374218675566134e-06,-5.2480219570630374e-05,4.513617703313216e-06,0.0,-4.691961471558327e-06,-3.60184145234536e-06,-3.341830285808345e-07,0.0
1990-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.128350947909658e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.5026589273503815e-06,0.0,-2.9127399244930334e-06,-5.756618898601554e-06,0.0,-6.60344848485969e-06,-4.295056734422107e-06,1.52903952221159e-07,0.0,2.0140725562308507e-06,5.6670329866815965e-06,0.0,-1.5863867991820796e-07,0.0,0.0,2.6892041998707928e-06,5.78198172516725e-06,2.610000875229531e-06,4.617552914341957e-06,2.550550308696899e-06,0.0,0.0,-2.927579880410465e-06,5.331857979261556e-07,0.0,-6.428727643278888e-06,-1.3180533081739174e-06,2.2959326710934014e-06,-3.273247892368823e-06,6.2607942513747365e-06,5.416906476664757e-06,-1.7280325525491386e-06,0.0,6.1838441414459085e-06,-3.1373633423618176e-05,4.513617703313216e-06,1.5477402860295126e-05,-5.541870481351946e-07,-3.60184145234536e-06,-1.008127646479807e-06,0.0
1990-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.128350947909658e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.58136132439134e-07,0.0,-2.9127399244930334e-06,-5.756618898601554e-06,0.0,-4.630066830993691e-06,-2.6255722868181012e-06,-2.3070679339706497e-06,0.0,2.0140725562308507e-06,5.6670329866815965e-06,0.0,-1.0821518213877332e-06,0.0,0.0,1.8057862818996301e-06,3.5739859539516057e-06,1.3870396845736314e-06,4.617552914341957e-06,2.550550308696899e-06,0.0,0.0,-2.927579880410465e-06,5.331857979261556e-07,0.0,-4.289455352954305e-06,-1.3180533081739174e-06,1.5391826231283793e-06,0.0,6.2607942513747365e-06,2.319979484481498e-06,-1.7280325525491386e-06,0.0,6.1838441414459085e-06,-1.1423734316201125e-05,2.5098331659596235e-06,8.27560948811608e-06,5.768064607899815e-06,-3.60184145234536e-06,-6.275727836740395e-07,0.0
1990-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.128350947909658e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.58136132439134e-07,0.0,-2.9127399244930334e-06,-8.799125991684938e-06,0.0,-4.630066830993691e-06,-2.6255722868181012e-06,-2.3070679339706497e-06,0.0,2.9533488987296802e-06,5.6670329866815965e-06,0.0,0.0,0.0,0.0,1.8057862818996301e-06,-4.100871921378227e-06,-3.5393498225834878e-06,6.4380783688581135e-06,3.800737476946201e-06,0.0,0.0,-4.086136560094337e-06,1.2122327674415894e-06,0.0,-6.094338858246374e-06,-1.3180533081739174e-06,-3.867294693749503e-06,3.573758070260237e-06,6.2607942513747365e-06,3.1143124889515674e-06,-2.329895574838262e-06,0.0,8.37712912349073e-06,-1.1423734316201125e-05,4.340742948906971e-06,4.359045489581641e-06,5.768064607899815e-06,-5.721435863536464e-06,-3.055836399711096e-06,0.0
1990-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.128350947909658e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.58136132439134e-07,0.0,-4.347547015295658e-06,-8.799125991684938e-06,0.0,-6.187481178864403e-06,-2.6255722868181012e-06,-2.3070679339706497e-06,0.0,1.83803122636668e-06,5.6670329866815965e-06,0.0,-3.5763136482162887e-07,0.0,0.0,1.8057862818996301e-06,4.273680257049082e-06,1.0001260308723162e-06,4.328271824838537e-06,3.800737476946201e-06,0.0,0.0,-4.086136560094337e-06,1.2122327674415894e-06,0.0,-6.094338858246374e-06,-1.3180533081739174e-06,-3.867294693749503e-06,3.573758070260237e-06,6.2607942513747365e-06,3.1143124889515674e-06,9.206175603341813e-08,0.0,8.37712912349073e-06,-1.9450408098915977e-05,-2.135522388025458e-06,4.359045489581641e-06,5.768064607899815e-06,-5.721435863536464e-06,-3.055836399711096e-06,0.0
1990-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.662237016032816e-07,0.0,0.0,0.0,0.0,0.0,0.0,-3.503138824278436e-07,0.0,-6.926529981729982e-07,-2.9449410761776134e-06,0.0,-1.5393020333824442e-06,-7.248227591411746e-07,-4.792815486896877e-07,0.0,3.576030100654011e-07,1.0868467193308094e-06,0.0,7.466075045141082e-07,0.0,0.0,4.359805846279301e-07,1.847021558948407e-07,1.6705687579924772e-07,1.6957180014312193e-07,8.39986239185908e-08,0.0,0.0,-5.750772854143115e-07,2.295892777142676e-07,0.0,-1.4882380043227636e-06,-5.329667943258889e-07,4.732012899950902e-07,9.65133712746847e-07,1.5936703812936533e-06,1.0659087883794444e-06,9.206175603341813e-08,-1.1255266203060341e-06,1.8940965769889237e-06,-6.7477073819320465e-06,-6.488278876983953e-07,2.2473369401480802e-06,2.1226625197638028e-06,-1.826714049989596e-06,-1.1241586474183354e-06,0.0
1990-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.301882033259681e-06,0.0,0.0,0.0,0.0,0.0,0.0,-6.53296072295815e-07,0.0,-6.926529981729982e-07,4.923839346098492e-06,0.0,-3.0055155341198176e-06,-1.414760625306214e-06,-9.126724654171263e-07,0.0,3.576030100654011e-07,2.0201578040046087e-06,0.0,1.1072202532331141e-06,0.0,0.0,5.954361777861418e-07,3.5372588471473945e-07,3.736535282920671e-07,3.0246720274128416e-07,1.9043873874399714e-07,0.0,0.0,5.89608038239486e-07,2.295892777142676e-07,0.0,-1.4882380043227636e-06,-1.0420929514396614e-06,9.76495234111355e-07,1.453985538613852e-06,3.614101748436734e-06,1.8851979953514477e-06,2.1693143797729737e-07,-2.13322879872771e-06,3.7335792022282837e-06,-1.2321278347114996e-05,-2.3017660522612904e-06,-3.62885038724927e-06,4.031902634824155e-06,-3.0353514115089747e-06,-1.9853783351948556e-06,0.0
