Regime,State,Months,Fraction of labeled months,Mean monthly return,Median monthly return,Monthly volatility,Annualized conditional mean,Positive month rate,Worst month,Average monthly cost,Average gross notional multiple,Average static margin fraction,Average maximum order participation,First labeled month,Last labeled month,Threshold method,Minimum threshold history months
Lagged realized volatility,Low,97,0.38492063492063494,0.010852218075233283,0.012105839501366455,0.023494185415475058,0.1302266169027994,0.6907216494845361,-0.049599364034385474,0.0009020119072695288,3.1710381308871733,0.19656435174400708,0.010161154384227924,1995-06-30,2014-12-31,lagged expanding terciles,36
Lagged realized volatility,Middle,87,0.34523809523809523,0.009853207171042615,0.010366734019277679,0.023847679709390147,0.11823848605251139,0.6666666666666666,-0.03724408033947324,0.0007660104817868498,2.4486317122199903,0.17619873729158717,0.009365226819376066,1994-11-30,2013-04-30,lagged expanding terciles,36
Lagged realized volatility,High,68,0.2698412698412698,0.009218492976465539,0.01002676536565128,0.023988386417812934,0.11062191571758646,0.6764705882352942,-0.059324607580349076,0.0007907530559401289,2.2180247803669837,0.17910742666013366,0.0063111838593971166,1994-01-31,2013-06-30,lagged expanding terciles,36
Lagged forecast magnitude,Low,109,0.4144486692015209,0.008545666659373943,0.009468599402475464,0.02368971055200362,0.10254799991248731,0.6513761467889908,-0.049599364034385474,0.0008568165426472361,2.5239760934584843,0.17941887678319998,0.008673072003757892,1993-02-28,2014-03-31,lagged expanding terciles,36
Lagged forecast magnitude,Middle,90,0.34220532319391633,0.00987561374538298,0.013803358407700417,0.021538217415145805,0.11850736494459575,0.6777777777777778,-0.033603378436602216,0.0008814979505935772,2.731139528930313,0.19771723814044578,0.00915773408668702,1993-04-30,2014-12-31,lagged expanding terciles,36
Lagged forecast magnitude,High,64,0.24334600760456274,0.015073500537623897,0.016916083236950263,0.026556612479015147,0.18088200645148678,0.765625,-0.059324607580349076,0.0008199011744821122,2.8541072774573353,0.19772980395769924,0.008426719697435175,1993-05-31,2014-08-31,lagged expanding terciles,36
Lagged liquidity pressure,Low,75,0.28517110266159695,0.00655516501102232,0.005296628273075532,0.02450735004125889,0.07866198013226784,0.6,-0.03591909860234965,0.0006514517260602173,2.1931609679480273,0.15232965892733308,0.006856393437004022,1993-08-31,2013-08-31,lagged expanding terciles,36
Lagged liquidity pressure,Middle,89,0.33840304182509506,0.014066517870386284,0.014989582546988789,0.02419407241910838,0.1687982144446354,0.7303370786516854,-0.049599364034385474,0.0009282954604396268,2.6737041894013203,0.19843726786665555,0.008812366585663077,1993-02-28,2014-09-30,lagged expanding terciles,36
Lagged liquidity pressure,High,99,0.376425855513308,0.010519489606799031,0.013311037171429785,0.022556523064244688,0.12623387528158836,0.7171717171717171,-0.059324607580349076,0.0009467102872240683,3.0417381019712404,0.2113159110668621,0.010205463060080583,1993-03-31,2014-12-31,lagged expanding terciles,36
Lagged cross-market correlation,Low,52,0.19771863117870722,0.0161002523971785,0.01643527709612025,0.025321861853294818,0.193203028766142,0.7692307692307693,-0.049599364034385474,0.0011789790703692516,3.444304060697836,0.2594801548358048,0.011497123773146347,1993-02-28,2014-12-31,lagged expanding terciles,36
Lagged cross-market correlation,Middle,70,0.2661596958174905,0.011858912927081406,0.013139120826545447,0.02230086360548955,0.14230695512497687,0.7,-0.03882090226792445,0.0009469463141634486,3.1657085082973446,0.20797351580145038,0.009139788092768768,1993-08-31,2014-09-30,lagged expanding terciles,36
Lagged cross-market correlation,High,141,0.5361216730038023,0.007926595090887778,0.008241107114073776,0.023665371259797868,0.09511914109065334,0.6524822695035462,-0.059324607580349076,0.0006922577320438538,2.1480525589423456,0.15570781771445596,0.007597414001062903,1994-05-31,2012-09-30,lagged expanding terciles,36
