Window,Cohort definition,Scope,Group,Closed episodes,Open or censored episodes,Entries before window,Wins,Losses,Breakevens,Win rate,Loss rate,Non-breakeven win rate,Profit factor contribution,Profit factor USD,Profit factor denominator zero,Expectancy bps,Expectancy USD,Average win bps,Average loss bps,Payoff ratio contribution,Average win USD,Average loss USD,Payoff ratio USD,Median outcome bps,Mean holding sessions,Median holding sessions,Low sample,Definition version
1990-2004 development history,closed episodes grouped by exit date,Overall,All,808,44,0,396,412,0,0.4900990099009901,0.5099009900990099,0.4900990099009901,2.4669252173872227,2.394281420381868,False,22.894131216367512,6262.922767649764,77.96696748368504,30.83218093683467,2.528752917071113,21944.11073961596,8809.287030647836,2.49102006362962,-0.5260927091033925,155.49257425742573,67.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,Agriculture & livestock,283,9,0,127,156,0,0.44876325088339225,0.5512367491166078,0.44876325088339225,2.1329314616969497,1.6443764948380153,False,18.84277975255505,3351.420193532653,79.04983164090653,30.171935566808017,2.6199788033442846,19057.817632736154,9435.198234536865,2.0198640409033892,-3.402767783212248,166.44169611307422,67.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,Energy,80,5,0,41,39,0,0.5125,0.4875,0.5125,3.172450149239092,3.477589364092829,False,48.79747630635989,11712.15395086312,139.0427917280398,46.07580400873947,3.0176964834225513,32076.86183953266,9696.897932097165,3.307950858527325,0.7938309069668446,190.3125,119.5,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,Equity indices,137,15,0,69,68,0,0.5036496350364964,0.49635036496350365,0.5036496350364964,2.1404866941023184,2.411656625175548,False,13.72705560512164,5487.23053826747,50.422250972520025,24.611208211563255,2.048751550069362,18612.77318271442,7831.334792127225,2.376705079883149,0.23580087271599037,109.39416058394161,45.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,FX,104,5,0,58,46,0,0.5576923076923077,0.4423076923076923,0.5576923076923077,2.866914838333587,3.2676537426434424,False,25.637957202303667,8345.40913124115,69.39929054942309,31.73801318614179,2.1866299614408713,21563.15315718928,8320.442031910841,2.5915874510620402,3.008977536723358,148.60576923076923,44.5,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,Government bonds,121,9,0,58,63,0,0.4793388429752066,0.5206611570247934,0.4793388429752066,2.7773450888825844,3.3555936831075033,False,29.03859146785286,10557.85119540396,94.6653423635327,31.379687134519052,3.016771389648325,31376.312410651884,8608.351193236987,3.6448690006167705,-1.4832917483573425,174.2396694214876,89.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Asset class,Metals,83,1,0,43,40,0,0.5180722891566265,0.4819277108433735,0.5180722891566265,2.141593714289172,1.863516362373634,False,14.476259202308897,3347.520932368894,51.227985890188904,26.98722731735059,1.8982307922108574,13944.26338529086,8043.977204522217,1.7335035929057059,0.6644614007056096,141.9879518072289,86.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Symbol,6A,6,1,0,3,3,0,0.5,0.5,0.5,1.7861754329911625,1.8445560118902355,False,20.559434258787313,6513.780004906104,93.42127685044458,52.30240833286996,1.7861754329911628,28452.895720412023,15425.335710599813,1.8445560118902355,12.997563467737445,239.5,239.5,True,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Symbol,6B,28,1,0,11,17,0,0.39285714285714285,0.6071428571428571,0.39285714285714285,0.9069597136247755,1.1428140411583836,False,-2.1842893510822923,573.1709939579097,49.68255383620366,41.084421741546755,1.2092796181663674,11674.927967911084,6610.318812717674,1.7661671545175017,-2.685913439865158,89.28571428571429,44.0,False,directional episode v1
1990-2004 development history,closed episodes grouped by exit date,Symbol,6C,14,1,0,7,7,0,0.5,0.5,0.5,2.9116320261819455,2.1119272232428368,False,29.88745061404341,5861.414072101034,91.04394276401135,31.269041535924522,2.911632026181946,22265.629776500886,10542.801632298815,2.1119272232428368,0.26755866430912717,209.78571428571428,56.0,True,directional episode v1
