Window,Source start,Source end,Closed episodes,Peak concurrent selected episodes,Maximum episodes sharing an exit date,Method,Replacement,Accounting,Horizon episodes,Samples,Seed,Return scale,Capital floor fraction,Metric,Statistic,Value,Monte Carlo standard error,Confidence lower,Confidence upper,Confidence method,Selection adjusted,Dependence preserved,Permitted use,Limitations
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P01,1.85141437709584,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P05,1.851414377095841,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P25,1.8514143770958418,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,Median,1.8514143770958427,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P75,1.8514143770958436,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P95,1.8514143770958444,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P99,1.8514143770958453,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P01,-0.07376677247731542,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P05,-0.058371647984417255,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P25,-0.04203495130010129,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
